time,frequency,confidence
0.000,127.690,0.099101
0.010,127.621,0.221751
0.020,127.589,0.133048
0.030,127.770,0.025310
0.040,128.069,0.025688
0.050,127.911,0.043541
0.060,126.951,0.034570
0.070,126.840,0.048532
0.080,127.678,0.016953
0.090,128.066,0.039848
0.100,125.218,0.019601
0.110,125.331,0.038104
0.120,127.656,0.060458
0.130,129.598,0.310628
0.140,136.537,0.150295
0.150,152.080,0.114537
0.160,164.009,0.038036
0.170,180.867,0.131306
0.180,194.852,0.393510
0.190,194.264,0.567472
0.200,194.370,0.610579
0.210,196.548,0.550535
0.220,196.480,0.680234
0.230,196.316,0.847418
0.240,196.168,0.896518
0.250,196.405,0.947951
0.260,196.260,0.939812
0.270,196.316,0.938948
0.280,196.509,0.944281
0.290,196.374,0.936023
0.300,196.058,0.921664
0.310,195.883,0.905448
0.320,196.171,0.923271
0.330,196.395,0.945996
0.340,196.255,0.948415
0.350,196.034,0.935676
0.360,196.211,0.938432
0.370,196.480,0.941949
0.380,196.582,0.946928
0.390,196.339,0.946365
0.400,196.095,0.936382
0.410,196.270,0.938980
0.420,196.366,0.947543
0.430,209.087,0.930883
0.440,237.777,0.876169
0.450,259.320,0.576988
0.460,259.190,0.877260
0.470,259.631,0.942690
0.480,260.214,0.941918
0.490,261.380,0.943223
0.500,262.144,0.954427
0.510,261.997,0.959518
0.520,262.157,0.958240
0.530,262.208,0.955628
0.540,261.915,0.952296
0.550,261.728,0.950115
0.560,261.556,0.949952
0.570,261.796,0.939280
0.580,261.809,0.925035
0.590,261.603,0.909119
0.600,261.778,0.910430
0.610,261.587,0.878048
0.620,261.638,0.841867
0.630,261.918,0.839211
0.640,261.066,0.652899
0.650,261.416,0.723652
0.660,262.210,0.790049
0.670,264.637,0.661914
0.680,263.970,0.646116
0.690,262.251,0.736047
0.700,261.409,0.723958
0.710,257.132,0.628988
0.720,255.740,0.563392
0.730,230.905,0.247753
0.740,241.100,0.592483
0.750,240.499,0.811984
0.760,240.843,0.931124
0.770,241.467,0.961696
0.780,242.534,0.970570
0.790,242.645,0.969821
0.800,242.574,0.966128
0.810,242.587,0.955652
0.820,241.898,0.956478
0.830,241.792,0.964746
0.840,242.555,0.947282
0.850,243.052,0.941145
0.860,243.240,0.951185
0.870,242.684,0.974776
0.880,243.044,0.965593
0.890,244.295,0.938448
0.900,246.022,0.898556
0.910,246.773,0.908615
0.920,247.517,0.914077
0.930,247.325,0.934919
0.940,247.221,0.921545
0.950,246.818,0.916061
0.960,246.297,0.899937
0.970,245.141,0.936824
0.980,243.914,0.917055
0.990,243.648,0.928382
1.000,244.188,0.937218
1.010,243.878,0.896124
1.020,242.812,0.895946
1.030,244.950,0.841991
1.040,250.599,0.645759
1.050,256.884,0.738742
1.060,259.571,0.769407
1.070,260.735,0.811609
1.080,260.071,0.808079
1.090,259.722,0.823269
1.100,259.413,0.743840
1.110,261.272,0.708421
1.120,260.839,0.676980
1.130,260.467,0.835292
1.140,260.472,0.900683
1.150,260.495,0.907979
1.160,261.057,0.903167
1.170,262.334,0.885681
1.180,262.052,0.906382
1.190,261.387,0.933408
1.200,261.185,0.935466
1.210,261.533,0.934018
1.220,261.622,0.940833
1.230,262.054,0.935235
1.240,262.336,0.937299
1.250,262.006,0.947301
1.260,262.287,0.953270
1.270,262.516,0.951454
1.280,262.120,0.960910
1.290,262.072,0.954837
1.300,261.979,0.954352
1.310,262.082,0.961273
1.320,262.594,0.957295
1.330,262.710,0.956301
1.340,262.198,0.965903
1.350,261.936,0.962607
1.360,261.770,0.958336
1.370,261.743,0.956975
1.380,262.065,0.958760
1.390,262.460,0.960483
1.400,261.974,0.962445
1.410,261.615,0.961107
1.420,261.587,0.963883
1.430,261.526,0.956429
1.440,261.619,0.953685
1.450,261.771,0.954790
1.460,261.865,0.959629
1.470,261.619,0.959966
1.480,261.782,0.955530
1.490,262.024,0.948573
1.500,261.698,0.933796
