time,frequency,confidence
0.000,136.541,0.128303
0.010,136.962,0.103971
0.020,136.730,0.201706
0.030,136.806,0.323718
0.040,135.896,0.386348
0.050,135.895,0.573998
0.060,136.508,0.451676
0.070,136.038,0.222300
0.080,134.879,0.138123
0.090,134.629,0.430705
0.100,134.231,0.127028
0.110,134.494,0.224984
0.120,134.761,0.455831
0.130,136.947,0.050089
0.140,135.387,0.095791
0.150,134.028,0.300657
0.160,131.541,0.348739
0.170,131.710,0.340946
0.180,132.290,0.147529
0.190,135.265,0.181159
0.200,140.758,0.049605
0.210,139.345,0.306563
0.220,136.841,0.054000
0.230,135.005,0.130307
0.240,138.888,0.124394
0.250,141.470,0.169714
0.260,142.428,0.083417
0.270,141.446,0.264105
0.280,140.061,0.066292
0.290,139.810,0.116736
0.300,141.799,0.263996
0.310,142.442,0.120268
0.320,142.094,0.053841
0.330,138.598,0.117560
0.340,137.689,0.054444
0.350,137.480,0.056108
0.360,135.631,0.377495
0.370,134.430,0.378378
0.380,133.580,0.059520
0.390,133.012,0.058052
0.400,132.171,0.054486
0.410,125.730,0.078610
0.420,120.983,0.386647
0.430,121.375,0.695738
0.440,121.342,0.753142
0.450,122.689,0.811151
0.460,124.879,0.794334
0.470,127.964,0.753718
0.480,130.968,0.873823
0.490,132.921,0.853423
0.500,135.422,0.876806
0.510,137.560,0.827152
0.520,156.203,0.265710
0.530,174.141,0.431646
0.540,182.038,0.496266
0.550,187.588,0.484784
0.560,192.167,0.714468
0.570,196.544,0.868760
0.580,199.972,0.837985
0.590,203.788,0.896994
0.600,206.739,0.926913
0.610,209.525,0.895736
0.620,212.653,0.920448
0.630,215.413,0.916346
0.640,217.854,0.924889
0.650,219.377,0.904513
0.660,220.228,0.948861
0.670,220.589,0.958584
0.680,221.239,0.950200
0.690,221.678,0.931396
0.700,221.955,0.917593
0.710,222.209,0.935101
0.720,222.540,0.958020
0.730,222.833,0.965553
0.740,223.521,0.958379
0.750,225.785,0.944865
0.760,229.695,0.846597
0.770,236.069,0.856637
0.780,242.607,0.864420
0.790,250.870,0.880386
0.800,256.887,0.940598
0.810,262.372,0.908321
0.820,267.968,0.918137
0.830,272.936,0.930283
0.840,276.966,0.922601
0.850,281.393,0.896457
0.860,285.590,0.928829
0.870,288.477,0.940837
0.880,290.497,0.948456
0.890,292.443,0.940391
0.900,293.982,0.960446
0.910,295.952,0.951120
0.920,297.704,0.956693
0.930,298.816,0.959570
0.940,299.840,0.940147
0.950,300.588,0.946188
0.960,300.793,0.949968
0.970,300.138,0.921271
0.980,298.664,0.948761
0.990,296.139,0.919107
1.000,293.311,0.916232
1.010,290.071,0.923142
1.020,286.848,0.949266
1.030,284.600,0.973813
1.040,281.941,0.943660
1.050,279.196,0.918662
1.060,277.006,0.931385
1.070,275.806,0.907440
1.080,275.754,0.901679
1.090,276.689,0.880847
1.100,278.408,0.896254
1.110,281.370,0.873457
1.120,284.429,0.918246
1.130,287.198,0.931834
1.140,289.095,0.917289
1.150,290.731,0.946629
1.160,292.583,0.914401
1.170,294.983,0.924893
1.180,297.319,0.926148
1.190,298.844,0.941205
1.200,299.612,0.935152
1.210,299.602,0.935657
1.220,298.745,0.944752
1.230,297.126,0.926152
1.240,295.252,0.942607
1.250,293.208,0.916064
1.260,290.502,0.933097
1.270,287.703,0.958002
1.280,285.367,0.962857
1.290,282.740,0.921701
1.300,280.226,0.909525
1.310,278.734,0.925761
1.320,278.225,0.922688
1.330,279.036,0.903033
1.340,280.848,0.866392
1.350,283.509,0.892069
1.360,287.131,0.921206
1.370,290.161,0.921207
1.380,293.249,0.903234
1.390,297.058,0.932303
1.400,299.975,0.935657
1.410,301.414,0.968180
1.420,302.194,0.968837
1.430,301.915,0.966630
1.440,300.301,0.931925
1.450,297.808,0.948391
1.460,295.399,0.950737
1.470,293.514,0.930843
1.480,291.509,0.943221
1.490,289.484,0.915312
1.500,287.906,0.957583
1.510,286.563,0.951422
1.520,285.730,0.946095
1.530,285.570,0.947283
1.540,286.011,0.929160
1.550,286.262,0.934119
1.560,286.585,0.946010
1.570,287.265,0.953500
1.580,288.207,0.951127
1.590,289.726,0.925481
1.600,291.832,0.929352
1.610,294.938,0.925032
1.620,298.786,0.939153
1.630,301.731,0.962876
1.640,303.732,0.956291
1.650,305.420,0.970336
1.660,306.552,0.953274
1.670,306.600,0.954588
1.680,305.052,0.969271
1.690,302.906,0.948190
1.700,299.962,0.919766
1.710,297.269,0.928056
1.720,294.293,0.949477
1.730,291.705,0.932992
1.740,288.713,0.923863
1.750,286.202,0.932987
1.760,283.517,0.955429
1.770,280.363,0.926063
1.780,278.566,0.939639
1.790,277.885,0.932252
1.800,278.427,0.917684
1.810,279.496,0.890565
1.820,281.311,0.901610
1.830,284.287,0.905358
1.840,288.345,0.917555
1.850,292.066,0.910954
1.860,296.655,0.898378
1.870,300.567,0.933651
1.880,302.541,0.963712
1.890,303.238,0.947536
1.900,303.320,0.944968
1.910,302.709,0.959623
1.920,301.253,0.956854
1.930,298.695,0.939725
1.940,295.487,0.938249
1.950,293.222,0.915415
1.960,290.907,0.937877
1.970,288.273,0.937526
1.980,285.376,0.954444
1.990,282.487,0.922746
2.000,278.992,0.923979
2.010,276.933,0.925174
2.020,276.239,0.896051
2.030,276.199,0.888994
2.040,277.388,0.901151
2.050,279.620,0.873689
2.060,285.199,0.867261
2.070,289.864,0.889517
2.080,293.893,0.893660
2.090,299.175,0.925665
2.100,302.757,0.952737
2.110,304.844,0.972352
2.120,305.776,0.970915
2.130,305.060,0.975224
2.140,303.505,0.949090
2.150,300.636,0.931823
2.160,296.390,0.903626
2.170,292.650,0.911651
2.180,289.425,0.898103
2.190,286.346,0.934183
2.200,283.932,0.964983
2.210,281.257,0.945645
2.220,279.403,0.915394
2.230,279.047,0.926965
2.240,279.353,0.905882
2.250,280.842,0.891256
2.260,284.343,0.905545
2.270,288.171,0.916649
2.280,291.641,0.925836
2.290,295.565,0.910554
2.300,299.762,0.921786
2.310,302.688,0.957046
2.320,304.501,0.974162
2.330,305.316,0.976700
2.340,304.990,0.975933
2.350,303.616,0.955432
2.360,301.592,0.963247
2.370,298.736,0.950967
2.380,295.187,0.957075
2.390,292.213,0.933571
2.400,289.523,0.913678
2.410,287.333,0.954259
2.420,285.162,0.970407
2.430,283.282,0.955980
2.440,281.834,0.955363
2.450,281.158,0.953049
2.460,281.457,0.950342
2.470,282.680,0.927826
2.480,285.028,0.941619
2.490,288.509,0.930066
2.500,292.011,0.921082
2.510,296.487,0.909236
2.520,300.317,0.935617
2.530,302.748,0.956749
2.540,304.875,0.970473
2.550,306.639,0.947228
2.560,307.150,0.959070
2.570,306.251,0.953488
2.580,304.574,0.969286
2.590,302.708,0.956577
2.600,299.693,0.927002
2.610,295.502,0.945715
2.620,291.243,0.933477
2.630,287.665,0.945238
2.640,285.053,0.965900
2.650,282.845,0.941781
2.660,281.054,0.952349
2.670,279.742,0.916473
2.680,279.571,0.926750
2.690,280.050,0.904057
2.700,281.005,0.926465
2.710,283.887,0.916823
2.720,287.925,0.918890
2.730,291.749,0.925382
2.740,295.619,0.921701
2.750,299.371,0.934198
2.760,302.575,0.956682
2.770,304.340,0.969029
2.780,304.882,0.973914
2.790,304.104,0.968035
2.800,302.471,0.963493
2.810,299.957,0.932020
2.820,297.134,0.934616
2.830,294.574,0.956558
2.840,292.493,0.923975
2.850,290.232,0.933416
2.860,287.897,0.952775
2.870,286.094,0.936935
2.880,284.450,0.972214
2.890,283.235,0.954831
2.900,283.225,0.948323
2.910,284.428,0.955396
2.920,286.859,0.936874
2.930,289.543,0.894759
2.940,292.497,0.897688
2.950,297.476,0.891912
2.960,302.937,0.914773
2.970,307.909,0.923586
2.980,311.219,0.939844
2.990,312.164,0.958223
3.000,311.715,0.957934
3.010,309.910,0.940041
3.020,306.582,0.934232
3.030,303.042,0.938623
3.040,298.391,0.923931
3.050,292.495,0.880417
3.060,286.871,0.909274
3.070,282.591,0.920676
3.080,279.143,0.931744
3.090,277.343,0.947026
3.100,276.864,0.920796
3.110,277.489,0.933192
3.120,279.456,0.886728
3.130,283.956,0.875907
3.140,288.493,0.907586
3.150,292.265,0.902053
3.160,296.186,0.902327
3.170,299.591,0.935285
3.180,301.871,0.961416
3.190,303.467,0.945316
3.200,303.824,0.956221
3.210,302.675,0.949575
3.220,300.190,0.910588
3.230,295.720,0.915252
3.240,290.228,0.879816
3.250,285.248,0.918338
3.260,279.492,0.888419
3.270,275.094,0.943766
3.280,272.294,0.963419
3.290,270.613,0.949483
3.300,269.956,0.963423
3.310,269.896,0.961946
3.320,269.974,0.956587
3.330,270.231,0.953522
3.340,269.836,0.961724
3.350,269.305,0.971446
3.360,268.695,0.968053
3.370,267.904,0.961675
3.380,266.697,0.946207
3.390,265.813,0.957949
3.400,265.172,0.943115
3.410,264.233,0.911274
3.420,263.963,0.922514
3.430,264.007,0.914051
3.440,264.078,0.917308
3.450,264.461,0.931898
3.460,264.992,0.942931
3.470,265.448,0.950574
3.480,266.203,0.931418
3.490,267.242,0.892612
3.500,268.031,0.919550
3.510,268.216,0.923202
3.520,267.944,0.928735
3.530,267.266,0.881808
3.540,266.544,0.904482
3.550,265.791,0.936805
3.560,264.802,0.909844
3.570,263.367,0.943292
3.580,262.602,0.960226
3.590,262.300,0.958664
3.600,262.480,0.957859
3.610,262.734,0.964600
3.620,263.448,0.946139
3.630,264.200,0.913863
3.640,264.387,0.930038
3.650,264.643,0.943164
3.660,265.062,0.947492
3.670,264.958,0.950777
3.680,264.836,0.948105
3.690,264.595,0.938253
3.700,264.098,0.918841
3.710,263.818,0.936114
3.720,264.084,0.923444
3.730,264.838,0.952620
3.740,265.902,0.954958
3.750,266.704,0.927413
3.760,267.504,0.946994
3.770,267.906,0.952885
3.780,267.636,0.953850
3.790,267.027,0.933262
3.800,266.599,0.940557
3.810,265.912,0.959331
3.820,265.863,0.959957
3.830,266.409,0.944425
3.840,266.767,0.926776
3.850,267.154,0.933701
3.860,267.311,0.937280
3.870,266.886,0.926709
3.880,266.734,0.933062
3.890,267.024,0.924337
3.900,267.373,0.942727
3.910,268.112,0.958804
3.920,268.634,0.958641
3.930,268.681,0.965282
3.940,268.522,0.963253
3.950,268.417,0.960786
3.960,268.000,0.959211
3.970,267.640,0.950439
3.980,267.480,0.943243
3.990,266.851,0.916385
4.000,266.512,0.937996
4.010,266.343,0.942981
4.020,266.055,0.946883
4.030,265.959,0.954221
4.040,266.352,0.939298
4.050,266.767,0.917698
4.060,267.032,0.922717
4.070,267.354,0.935457
4.080,267.452,0.944503
4.090,267.284,0.939719
4.100,267.307,0.938027
4.110,267.066,0.929235
4.120,266.480,0.941355
4.130,266.437,0.945093
4.140,266.363,0.944024
4.150,266.021,0.956600
4.160,266.109,0.956125
4.170,265.832,0.961492
4.180,265.197,0.959358
4.190,264.663,0.946586
4.200,264.142,0.916854
4.210,263.786,0.940347
4.220,264.115,0.932136
4.230,264.515,0.937667
4.240,264.514,0.944224
4.250,264.860,0.956186
4.260,265.264,0.956223
4.270,265.403,0.962747
4.280,265.665,0.959250
4.290,266.037,0.946816
4.300,266.029,0.953679
4.310,266.079,0.947724
4.320,266.163,0.942584
4.330,265.680,0.959081
4.340,265.399,0.958032
4.350,265.200,0.953695
4.360,264.886,0.950023
4.370,264.902,0.950512
4.380,265.206,0.954320
4.390,265.643,0.958849
4.400,266.381,0.935193
4.410,267.196,0.925545
4.420,268.225,0.947274
4.430,269.078,0.948538
4.440,269.467,0.949814
4.450,269.631,0.951760
4.460,269.790,0.943857
4.470,269.254,0.957469
4.480,268.640,0.961908
4.490,268.175,0.957248
4.500,267.386,0.940625
4.510,266.192,0.954038
4.520,265.502,0.962816
4.530,264.802,0.946608
4.540,264.291,0.932667
4.550,264.532,0.944642
4.560,264.958,0.951482
4.570,265.144,0.959625
4.580,265.646,0.962694
4.590,266.095,0.946992
4.600,266.342,0.950530
4.610,266.393,0.947270
4.620,265.993,0.950837
4.630,265.411,0.959846
4.640,265.115,0.957398
4.650,264.921,0.945633
4.660,264.555,0.939388
4.670,264.409,0.937189
4.680,264.459,0.931472
4.690,264.448,0.937963
4.700,264.813,0.951571
4.710,265.374,0.959881
4.720,265.593,0.962827
4.730,265.728,0.960423
4.740,265.761,0.960726
4.750,265.976,0.957540
4.760,266.327,0.947372
4.770,266.286,0.948780
4.780,266.140,0.951733
4.790,265.702,0.963027
4.800,264.864,0.949568
4.810,264.248,0.928049
4.820,264.003,0.922819
4.830,264.447,0.934191
4.840,265.394,0.953729
4.850,266.262,0.934821
4.860,267.121,0.904387
4.870,268.051,0.932895
4.880,268.753,0.948028
4.890,268.799,0.948002
4.900,268.654,0.945617
4.910,267.856,0.942242
4.920,266.730,0.926207
4.930,265.318,0.950121
4.940,263.530,0.937635
4.950,261.397,0.931858
4.960,258.561,0.910656
4.970,254.427,0.923924
4.980,251.167,0.930660
4.990,248.870,0.919355
5.000,248.330,0.935750
5.010,248.599,0.929956
5.020,249.237,0.919334
5.030,250.092,0.946803
5.040,251.025,0.945720
5.050,251.700,0.936490
5.060,252.265,0.921266
5.070,252.353,0.930485
5.080,251.997,0.928234
5.090,251.153,0.948933
5.100,250.526,0.954193
5.110,250.075,0.952691
5.120,249.741,0.945081
5.130,249.285,0.931061
5.140,248.783,0.922800
5.150,248.510,0.933936
5.160,248.366,0.937709
5.170,248.553,0.931256
5.180,248.638,0.925474
5.190,248.832,0.918559
5.200,248.870,0.914782
5.210,248.865,0.920005
5.220,248.584,0.930233
5.230,248.405,0.941981
5.240,248.289,0.939569
5.250,248.410,0.938989
5.260,248.599,0.926449
5.270,248.717,0.923244
5.280,248.547,0.922808
5.290,247.985,0.938966
5.300,247.069,0.929303
5.310,246.368,0.913752
5.320,246.067,0.937556
5.330,246.092,0.934951
5.340,246.252,0.926658
5.350,246.993,0.933151
5.360,247.701,0.945074
5.370,248.071,0.936788
5.380,248.120,0.937146
5.390,248.107,0.936842
5.400,248.165,0.938814
5.410,248.116,0.939053
5.420,248.071,0.940805
5.430,247.834,0.933592
5.440,247.732,0.935185
5.450,247.631,0.930919
5.460,247.670,0.940405
5.470,247.593,0.935178
5.480,247.444,0.939165
5.490,247.318,0.937355
5.500,247.384,0.941709
5.510,247.540,0.945940
5.520,247.819,0.947107
5.530,248.001,0.947451
5.540,248.133,0.943973
5.550,247.976,0.946103
5.560,247.486,0.944467
5.570,247.158,0.941849
5.580,247.045,0.937057
5.590,246.951,0.941905
5.600,246.956,0.941253
5.610,246.885,0.940162
5.620,246.548,0.922380
5.630,246.109,0.937302
5.640,245.841,0.937224
5.650,245.561,0.939602
5.660,245.772,0.941557
5.670,245.809,0.938902
5.680,246.057,0.937712
5.690,246.159,0.933757
5.700,246.246,0.925555
5.710,246.509,0.913090
5.720,246.801,0.936827
5.730,247.115,0.944477
5.740,247.358,0.949128
5.750,247.518,0.945718
5.760,247.486,0.947105
5.770,247.137,0.939695
5.780,247.050,0.941328
5.790,247.289,0.940316
5.800,247.360,0.941410
5.810,247.370,0.935430
5.820,247.165,0.940352
5.830,246.970,0.940892
5.840,247.083,0.944124
5.850,247.292,0.951503
5.860,247.705,0.952470
5.870,247.840,0.952839
5.880,247.906,0.950241
5.890,247.823,0.951458
5.900,247.578,0.946855
5.910,247.354,0.944493
5.920,247.252,0.939125
5.930,247.106,0.941217
5.940,246.987,0.936674
5.950,246.909,0.936769
5.960,246.712,0.926671
5.970,246.610,0.927216
5.980,246.714,0.925661
5.990,246.963,0.931334
6.000,247.235,0.938427
6.010,247.340,0.946573
6.020,247.110,0.947072
6.030,246.827,0.939797
6.040,246.470,0.926915
6.050,246.343,0.928915
6.060,246.426,0.927493
6.070,246.657,0.930536
6.080,246.284,0.927002
6.090,245.705,0.950772
6.100,244.985,0.965208
6.110,244.657,0.966518
6.120,244.350,0.957866
6.130,244.308,0.950368
6.140,244.747,0.950858
6.150,245.473,0.954541
6.160,246.054,0.937528
6.170,245.759,0.939123
6.180,244.857,0.942604
6.190,243.465,0.936837
6.200,240.694,0.913130
6.210,236.910,0.805676
6.220,229.565,0.651305
6.230,223.049,0.620976
6.240,214.730,0.716804
6.250,208.431,0.820823
6.260,205.421,0.917504
6.270,204.806,0.920822
6.280,205.160,0.921349
6.290,206.043,0.947439
6.300,206.845,0.931580
6.310,208.404,0.925387
6.320,211.761,0.871414
6.330,216.391,0.827286
6.340,221.709,0.888117
6.350,225.542,0.895962
6.360,228.579,0.914265
6.370,230.526,0.903264
6.380,230.803,0.914611
6.390,229.412,0.898606
6.400,227.418,0.878757
6.410,225.009,0.886486
6.420,222.130,0.854950
6.430,218.688,0.906610
6.440,215.951,0.928554
6.450,213.645,0.926743
6.460,211.754,0.925392
6.470,210.565,0.950759
6.480,210.994,0.936531
6.490,212.867,0.929676
6.500,215.692,0.878638
6.510,220.674,0.883196
6.520,225.300,0.832876
6.530,230.564,0.836830
6.540,232.892,0.868090
6.550,231.765,0.786961
6.560,228.730,0.591479
6.570,222.972,0.569058
6.580,219.770,0.557395
6.590,219.122,0.446667
6.600,220.297,0.192293
6.610,232.543,0.294299
6.620,235.476,0.481151
6.630,260.231,0.209282
6.640,295.124,0.257317
6.650,322.981,0.293673
6.660,355.451,0.396059
6.670,353.531,0.541580
6.680,351.259,0.440194
6.690,353.583,0.289943
6.700,352.764,0.164020
6.710,352.840,0.211119
6.720,325.516,0.329119
6.730,287.366,0.345211
6.740,259.911,0.282428
6.750,237.980,0.442201
6.760,234.390,0.492289
6.770,227.097,0.696335
6.780,225.502,0.808122
6.790,223.043,0.904194
6.800,221.918,0.916362
6.810,222.669,0.953099
6.820,224.591,0.916374
6.830,228.007,0.895908
6.840,233.189,0.842165
6.850,238.775,0.797485
6.860,246.324,0.748366
6.870,254.207,0.815197
6.880,263.074,0.718903
6.890,271.982,0.844720
6.900,279.280,0.817564
6.910,286.150,0.888375
6.920,289.348,0.921082
6.930,290.424,0.958762
6.940,289.833,0.943674
6.950,287.881,0.959773
6.960,285.248,0.961038
6.970,282.215,0.934657
6.980,278.401,0.945138
6.990,275.947,0.934365
7.000,274.703,0.962554
7.010,274.207,0.958368
7.020,274.530,0.963994
7.030,274.921,0.960284
7.040,275.048,0.963546
7.050,275.624,0.950833
7.060,277.800,0.941080
7.070,281.358,0.916419
7.080,285.783,0.911462
7.090,289.640,0.896087
7.100,292.751,0.923460
7.110,294.955,0.961365
7.120,295.842,0.962081
7.130,295.536,0.966555
7.140,294.008,0.955882
7.150,291.717,0.948050
7.160,288.927,0.922367
7.170,286.115,0.916375
7.180,281.729,0.879421
7.190,275.792,0.906938
7.200,270.582,0.840223
7.210,262.206,0.842121
7.220,257.450,0.945734
7.230,254.904,0.949631
7.240,254.028,0.969613
7.250,254.975,0.954293
7.260,256.887,0.964347
7.270,260.118,0.919907
7.280,265.617,0.875422
7.290,271.893,0.875930
7.300,278.307,0.872413
7.310,284.389,0.904770
7.320,289.356,0.903472
7.330,292.526,0.939544
7.340,294.093,0.963374
7.350,294.226,0.969213
7.360,293.512,0.950989
7.370,292.237,0.950729
7.380,290.498,0.948758
7.390,288.585,0.942015
7.400,286.483,0.933269
7.410,284.534,0.958807
7.420,281.964,0.933783
7.430,279.425,0.914704
7.440,277.812,0.950380
7.450,276.622,0.941837
7.460,276.137,0.923786
7.470,276.065,0.927402
7.480,277.385,0.913782
7.490,281.349,0.785892
7.500,288.967,0.620646
7.510,300.270,0.310695
7.520,331.770,0.231633
7.530,379.893,0.810841
7.540,377.433,0.744820
7.550,362.309,0.437452
7.560,341.030,0.447264
7.570,316.612,0.496032
7.580,304.932,0.713324
7.590,295.101,0.752643
7.600,287.712,0.902428
7.610,284.099,0.932059
7.620,280.186,0.916090
7.630,278.173,0.948135
7.640,277.497,0.952484
7.650,277.093,0.944523
7.660,276.766,0.933946
7.670,276.370,0.925496
7.680,276.128,0.923419
7.690,276.552,0.935782
7.700,278.485,0.930229
7.710,282.383,0.807569
7.720,288.349,0.784277
7.730,294.851,0.615620
7.740,301.851,0.429676
7.750,333.476,0.762983
7.760,334.371,0.766131
7.770,332.901,0.617596
7.780,330.371,0.494429
7.790,303.969,0.294840
7.800,304.066,0.187590
7.810,329.060,0.342203
7.820,348.277,0.458192
7.830,349.953,0.301555
7.840,352.656,0.125714
7.850,354.448,0.092589
7.860,354.621,0.082642
7.870,348.923,0.072958
7.880,338.359,0.093334
7.890,325.891,0.051250
7.900,311.181,0.081390
7.910,298.361,0.123019
7.920,288.888,0.076897
7.930,274.073,0.053105
7.940,266.704,0.043697
7.950,260.771,0.035208
7.960,241.587,0.123733
7.970,227.480,0.078970
7.980,220.934,0.558269
7.990,220.305,0.728605
8.000,222.169,0.657769
8.010,226.589,0.654187
8.020,234.566,0.534981
8.030,242.901,0.546151
8.040,252.139,0.612423
8.050,261.431,0.472299
8.060,274.597,0.638292
8.070,283.701,0.640311
8.080,292.299,0.827341
8.090,297.120,0.941417
8.100,298.164,0.964822
8.110,296.473,0.933790
8.120,292.837,0.892047
8.130,288.269,0.883900
8.140,283.701,0.915000
8.150,279.587,0.899433
8.160,277.341,0.948441
8.170,276.151,0.921826
8.180,274.903,0.949155
8.190,273.555,0.933812
8.200,272.519,0.959752
8.210,272.825,0.956995
8.220,274.005,0.947469
8.230,275.904,0.946275
8.240,278.254,0.952648
8.250,281.581,0.926760
8.260,285.121,0.934609
8.270,289.803,0.886142
8.280,293.973,0.915984
8.290,297.452,0.943315
8.300,299.855,0.937666
8.310,300.788,0.956675
8.320,300.106,0.934311
8.330,297.757,0.947980
8.340,294.846,0.960812
8.350,292.299,0.937151
8.360,289.798,0.899484
8.370,287.027,0.920581
8.380,283.657,0.916740
8.390,279.602,0.894412
8.400,277.540,0.945849
8.410,276.367,0.918653
8.420,276.194,0.925900
8.430,277.017,0.939600
8.440,278.658,0.941971
8.450,281.306,0.934456
8.460,284.208,0.952091
8.470,286.344,0.939671
8.480,288.337,0.955009
8.490,290.153,0.939240
8.500,292.132,0.945284
8.510,294.168,0.948678
8.520,296.483,0.911927
8.530,298.636,0.955196
8.540,299.389,0.947446
8.550,298.417,0.955727
8.560,296.521,0.933074
8.570,294.408,0.964078
8.580,292.551,0.932918
8.590,290.286,0.924473
8.600,287.620,0.936173
8.610,284.479,0.947971
8.620,282.075,0.936649
8.630,280.257,0.916351
8.640,279.707,0.894444
8.650,280.576,0.910915
8.660,282.960,0.885435
8.670,285.776,0.905365
8.680,288.850,0.934973
8.690,291.408,0.947444
8.700,293.545,0.938935
8.710,295.556,0.946100
8.720,298.044,0.944018
8.730,300.782,0.945523
8.740,302.728,0.946001
8.750,303.587,0.940987
8.760,303.141,0.939674
8.770,301.191,0.946825
8.780,297.265,0.917845
8.790,292.525,0.896332
8.800,288.041,0.899145
8.810,284.185,0.921591
8.820,280.035,0.902226
8.830,277.904,0.935880
8.840,277.073,0.918312
8.850,276.967,0.927724
8.860,277.700,0.931941
8.870,279.927,0.873161
8.880,283.135,0.889270
8.890,287.450,0.930017
8.900,291.040,0.927692
8.910,294.409,0.923152
8.920,298.370,0.922233
8.930,302.203,0.949763
8.940,304.385,0.961694
8.950,304.635,0.964773
8.960,302.972,0.942149
8.970,299.983,0.921547
8.980,296.340,0.937518
8.990,292.411,0.916083
9.000,288.531,0.894770
9.010,284.618,0.927462
9.020,280.402,0.920395
9.030,278.139,0.940069
9.040,277.325,0.936842
9.050,277.324,0.944350
9.060,278.221,0.941682
9.070,280.223,0.896676
9.080,283.272,0.894038
9.090,288.307,0.898846
9.100,293.028,0.870354
9.110,296.862,0.909916
9.120,300.603,0.939433
9.130,303.162,0.938854
9.140,304.493,0.965413
9.150,304.604,0.965603
9.160,303.165,0.934460
9.170,300.178,0.926352
9.180,296.343,0.924142
9.190,292.333,0.917364
9.200,288.128,0.914182
9.210,284.280,0.935377
9.220,280.225,0.911182
9.230,278.193,0.949975
9.240,277.640,0.942807
9.250,278.132,0.949211
9.260,279.606,0.900739
9.270,282.999,0.874916
9.280,286.852,0.913294
9.290,290.526,0.913421
9.300,293.836,0.922121
9.310,296.933,0.924745
9.320,299.997,0.919347
9.330,302.515,0.951277
9.340,303.570,0.943857
9.350,303.458,0.941197
9.360,302.084,0.956059
9.370,299.288,0.940257
9.380,294.974,0.945315
9.390,290.854,0.918848
9.400,287.188,0.926685
9.410,283.933,0.939666
9.420,280.336,0.926243
9.430,278.562,0.950632
9.440,278.558,0.945019
9.450,280.188,0.890105
9.460,283.714,0.887756
9.470,289.222,0.839176
9.480,294.146,0.869945
9.490,299.045,0.917620
9.500,302.596,0.938633
9.510,304.950,0.958138
9.520,305.758,0.962140
9.530,304.589,0.959804
9.540,301.162,0.931276
9.550,295.317,0.864511
9.560,289.299,0.772024
9.570,281.655,0.754873
9.580,275.193,0.914373
9.590,271.476,0.934914
9.600,268.718,0.950608
9.610,267.982,0.944793
9.620,268.111,0.953275
9.630,268.940,0.960231
9.640,269.740,0.956692
9.650,270.084,0.947170
9.660,270.580,0.941057
9.670,270.664,0.939198
9.680,270.162,0.942192
