time,frequency,confidence
0.000,412.944,0.028131
0.010,416.491,0.044809
0.020,417.867,0.046948
0.030,428.240,0.199088
0.040,433.991,0.759036
0.050,442.136,0.152104
0.060,447.114,0.053076
0.070,444.448,0.098323
0.080,434.701,0.253258
0.090,393.374,0.671622
0.100,393.852,0.841870
0.110,394.797,0.915825
0.120,395.598,0.926149
0.130,395.304,0.943219
0.140,393.624,0.972405
0.150,391.958,0.957570
0.160,391.239,0.937674
0.170,390.704,0.949342
0.180,390.299,0.955121
0.190,389.925,0.957656
0.200,390.075,0.957760
0.210,390.176,0.956209
0.220,390.635,0.952083
0.230,390.459,0.953068
0.240,390.153,0.957592
0.250,389.847,0.957081
0.260,389.610,0.958798
0.270,389.188,0.951459
0.280,388.460,0.948134
0.290,388.253,0.946743
0.300,388.099,0.946406
0.310,388.323,0.953111
0.320,387.839,0.938741
0.330,386.033,0.818167
0.340,357.120,0.370266
0.350,351.234,0.886919
0.360,347.746,0.933484
0.370,345.434,0.940351
0.380,343.710,0.941762
0.390,341.362,0.941733
0.400,339.000,0.957288
0.410,337.070,0.948396
0.420,335.833,0.946703
0.430,334.852,0.960026
0.440,334.526,0.961454
0.450,335.144,0.949231
0.460,338.273,0.929436
0.470,342.607,0.913293
0.480,346.185,0.949041
0.490,348.316,0.931911
0.500,350.606,0.967158
0.510,352.995,0.955799
0.520,354.626,0.976912
0.530,354.952,0.977457
0.540,354.798,0.977885
0.550,354.582,0.977181
0.560,353.735,0.973269
0.570,352.357,0.947497
0.580,350.712,0.967183
0.590,349.117,0.951227
0.600,347.815,0.924576
0.610,345.856,0.933712
0.620,344.280,0.912663
0.630,342.636,0.936822
0.640,341.012,0.921540
0.650,339.047,0.947060
0.660,336.757,0.943436
0.670,334.495,0.963881
0.680,332.947,0.952607
0.690,332.699,0.945257
0.700,334.010,0.959934
0.710,335.825,0.937211
0.720,339.350,0.935724
0.730,343.006,0.927927
0.740,346.243,0.958614
0.750,348.260,0.939073
0.760,349.730,0.968995
0.770,350.853,0.970643
0.780,351.801,0.961503
0.790,352.650,0.955174
0.800,352.602,0.956596
0.810,352.098,0.957222
0.820,351.051,0.969839
0.830,350.357,0.974180
0.840,349.458,0.963592
0.850,348.708,0.950017
0.860,347.491,0.942181
0.870,345.704,0.944912
0.880,343.722,0.930757
0.890,341.970,0.951941
0.900,340.459,0.930142
0.910,339.250,0.951400
0.920,337.459,0.945999
0.930,335.633,0.944989
0.940,334.116,0.958905
0.950,333.497,0.956703
0.960,334.039,0.954796
0.970,336.196,0.911184
0.980,339.185,0.934995
0.990,342.163,0.947191
1.000,344.859,0.946793
1.010,347.024,0.957920
1.020,348.788,0.956675
1.030,350.305,0.965758
1.040,351.554,0.962536
1.050,352.333,0.945163
1.060,352.981,0.962496
1.070,352.923,0.960521
1.080,352.611,0.955197
1.090,351.528,0.960854
1.100,350.238,0.969704
1.110,348.594,0.935481
1.120,347.063,0.940648
1.130,344.925,0.917224
1.140,342.743,0.934152
1.150,340.897,0.919746
1.160,339.329,0.953108
1.170,337.822,0.959947
1.180,336.132,0.945867
1.190,334.612,0.964271
1.200,333.786,0.965781
1.210,332.920,0.950032
1.220,333.021,0.952716
1.230,333.763,0.965538
1.240,335.475,0.949563
1.250,338.773,0.941504
1.260,341.080,0.923534
1.270,343.696,0.933549
1.280,345.716,0.963262
1.290,347.042,0.962063
1.300,348.441,0.948082
1.310,349.505,0.972543
1.320,350.165,0.975663
1.330,350.649,0.977483
1.340,351.321,0.972568
1.350,351.885,0.968476
1.360,351.961,0.967226
1.370,351.210,0.978022
1.380,350.365,0.982203
1.390,349.571,0.978820
1.400,348.553,0.958837
1.410,347.183,0.962283
1.420,344.750,0.942972
1.430,342.114,0.954677
1.440,339.585,0.941706
1.450,337.645,0.946431
1.460,335.235,0.954783
1.470,333.583,0.956042
1.480,333.198,0.953601
1.490,333.974,0.962719
1.500,335.201,0.961434
1.510,336.062,0.933684
1.520,338.591,0.938003
1.530,341.716,0.936830
1.540,344.599,0.938269
1.550,345.980,0.963063
1.560,347.277,0.956779
1.570,348.045,0.934675
1.580,349.047,0.960407
1.590,349.932,0.970571
1.600,351.176,0.967564
1.610,351.901,0.956796
1.620,351.894,0.958901
1.630,350.911,0.970024
1.640,349.805,0.970115
1.650,348.420,0.942048
1.660,346.813,0.957314
1.670,344.603,0.938129
1.680,342.603,0.959439
1.690,340.824,0.943386
1.700,339.056,0.960709
1.710,337.254,0.956554
1.720,336.362,0.940110
1.730,336.360,0.937944
1.740,337.193,0.941308
1.750,339.157,0.941352
1.760,341.743,0.945425
1.770,344.651,0.938778
1.780,346.962,0.962976
1.790,348.880,0.960204
1.800,351.845,0.947486
1.810,353.890,0.969594
1.820,355.153,0.971157
1.830,355.798,0.966035
1.840,355.779,0.964957
1.850,354.952,0.974839
1.860,353.021,0.962342
1.870,350.938,0.969944
1.880,349.096,0.961077
