time,frequency,confidence
0.000,631.207,0.102723
0.010,629.790,0.056918
0.020,592.999,0.055411
0.030,588.431,0.050505
0.040,594.862,0.083401
0.050,596.711,0.106232
0.060,597.642,0.072214
0.070,594.784,0.071867
0.080,538.672,0.102169
0.090,595.176,0.102377
0.100,596.546,0.064317
0.110,624.188,0.053977
0.120,644.464,0.054973
0.130,627.206,0.062652
0.140,596.999,0.119707
0.150,610.114,0.109464
0.160,621.454,0.066631
0.170,621.816,0.018280
0.180,637.146,0.060314
0.190,643.095,0.049052
0.200,655.833,0.053096
0.210,661.179,0.072694
0.220,646.856,0.097315
0.230,645.456,0.091048
0.240,644.986,0.107210
0.250,596.342,0.091041
0.260,596.193,0.091750
0.270,594.466,0.109126
0.280,537.403,0.071919
0.290,470.548,0.087733
0.300,419.365,0.142544
0.310,363.486,0.471866
0.320,331.319,0.273102
0.330,325.959,0.423324
0.340,325.664,0.558502
0.350,324.415,0.561575
0.360,346.595,0.224642
0.370,346.775,0.250249
0.380,317.561,0.238221
0.390,320.573,0.274455
0.400,320.098,0.546310
0.410,318.411,0.685118
0.420,317.155,0.798184
0.430,316.240,0.910213
0.440,316.394,0.920782
0.450,317.140,0.889970
0.460,317.970,0.888034
0.470,318.188,0.904802
0.480,318.379,0.916160
0.490,319.578,0.936084
0.500,320.401,0.928927
0.510,321.534,0.922400
0.520,322.149,0.943251
0.530,321.709,0.938016
0.540,321.116,0.913705
0.550,320.357,0.936356
0.560,319.510,0.910703
0.570,319.228,0.824005
0.580,319.071,0.671227
0.590,317.554,0.682444
0.600,317.152,0.865229
0.610,317.314,0.894390
0.620,318.591,0.903935
0.630,318.890,0.811375
0.640,319.533,0.621971
0.650,330.374,0.419813
0.660,348.664,0.737340
0.670,348.370,0.899800
0.680,347.542,0.919703
0.690,343.408,0.854368
0.700,335.719,0.861508
0.710,331.883,0.930812
0.720,331.383,0.952883
0.730,332.880,0.941298
0.740,335.154,0.958468
0.750,336.789,0.935426
0.760,337.514,0.953884
0.770,339.203,0.937452
0.780,342.292,0.928436
0.790,345.414,0.944913
0.800,347.169,0.945763
0.810,348.521,0.950639
0.820,349.422,0.968739
0.830,349.708,0.970200
0.840,349.490,0.961312
0.850,348.885,0.924758
0.860,347.416,0.874169
0.870,347.858,0.873918
0.880,349.185,0.898829
0.890,348.550,0.856282
0.900,346.307,0.840188
0.910,344.290,0.836109
0.920,343.459,0.846071
0.930,345.697,0.749858
0.940,348.530,0.423555
0.950,319.146,0.647157
0.960,318.384,0.781771
0.970,318.006,0.864898
0.980,316.742,0.922182
0.990,316.531,0.939640
1.000,317.239,0.912303
1.010,317.485,0.904597
1.020,319.090,0.929753
1.030,321.935,0.895225
1.040,323.525,0.919667
1.050,324.421,0.900091
1.060,325.512,0.926362
1.070,326.741,0.943895
1.080,326.236,0.947936
1.090,325.165,0.928944
1.100,324.047,0.954256
1.110,323.281,0.954743
1.120,322.903,0.938084
1.130,322.041,0.912635
1.140,322.025,0.901267
1.150,323.142,0.871233
1.160,324.630,0.808189
1.170,324.551,0.844910
1.180,324.016,0.911316
1.190,323.950,0.909207
1.200,323.655,0.899897
1.210,324.195,0.827534
1.220,323.438,0.815015
1.230,323.552,0.835581
1.240,322.524,0.833799
1.250,320.177,0.777310
1.260,320.095,0.762886
1.270,321.172,0.678470
1.280,321.754,0.612808
1.290,322.217,0.603744
1.300,322.420,0.501810
1.310,323.975,0.476366
1.320,339.269,0.577352
1.330,342.593,0.742030
1.340,344.233,0.861736
1.350,343.267,0.905057
1.360,341.096,0.880799
1.370,337.956,0.936592
1.380,335.717,0.951869
1.390,334.108,0.960529
1.400,333.330,0.955676
1.410,332.898,0.949514
1.420,332.270,0.943961
1.430,331.789,0.957264
1.440,331.679,0.962279
1.450,331.646,0.962049
1.460,332.118,0.955511
1.470,332.454,0.949119
1.480,332.905,0.951584
1.490,333.797,0.966331
1.500,334.821,0.968155
1.510,335.854,0.949623
1.520,337.282,0.954680
1.530,339.204,0.944341
1.540,341.739,0.935377
1.550,344.253,0.911516
1.560,347.004,0.948207
1.570,348.046,0.937729
1.580,346.667,0.876769
1.590,333.608,0.602762
1.600,328.029,0.807206
1.610,326.080,0.878453
1.620,325.811,0.912537
1.630,325.578,0.895124
1.640,324.789,0.892574
1.650,323.371,0.930761
1.660,323.221,0.943883
1.670,322.655,0.942116
1.680,322.567,0.944310
1.690,322.896,0.948276
1.700,323.713,0.950846
1.710,324.636,0.909167
1.720,326.534,0.689150
1.730,357.509,0.391288
1.740,382.972,0.862944
1.750,383.404,0.930753
1.760,383.228,0.922274
1.770,382.956,0.909474
1.780,382.562,0.859525
1.790,381.525,0.781990
1.800,379.495,0.507607
1.810,335.988,0.736811
1.820,294.803,0.943496
1.830,294.389,0.962016
1.840,293.230,0.938009
1.850,293.225,0.931435
1.860,293.251,0.926688
1.870,292.917,0.912772
1.880,292.580,0.918448
1.890,292.637,0.916582
1.900,292.873,0.919951
1.910,292.946,0.930466
1.920,293.061,0.925692
1.930,295.800,0.871251
1.940,303.073,0.819500
1.950,312.186,0.862335
1.960,316.652,0.905003
1.970,318.546,0.923195
1.980,318.987,0.928191
1.990,318.998,0.924190
2.000,319.597,0.932652
2.010,319.590,0.936628
2.020,320.555,0.906792
2.030,321.927,0.931675
2.040,321.813,0.935035
2.050,322.024,0.939458
2.060,322.375,0.936213
2.070,322.451,0.929056
2.080,321.647,0.796668
2.090,346.035,0.493269
2.100,379.902,0.587462
2.110,380.042,0.892880
2.120,380.520,0.914366
2.130,379.888,0.835040
2.140,379.101,0.542939
2.150,351.536,0.282856
2.160,308.469,0.894009
2.170,291.894,0.936380
2.180,291.335,0.941119
2.190,291.869,0.942693
2.200,292.271,0.935245
