time,frequency,confidence
0.000,253.733,0.044819
0.010,286.900,0.065049
0.020,286.833,0.103658
0.030,287.458,0.078983
0.040,302.759,0.099638
0.050,321.463,0.132745
0.060,333.161,0.151631
0.070,337.050,0.084401
0.080,337.501,0.299586
0.090,339.277,0.504192
0.100,344.633,0.366486
0.110,349.328,0.536158
0.120,353.632,0.722855
0.130,361.540,0.700018
0.140,364.013,0.401033
0.150,362.705,0.115315
0.160,369.890,0.377355
0.170,370.347,0.474526
0.180,375.692,0.438305
0.190,381.717,0.245156
0.200,389.821,0.290159
0.210,386.049,0.164641
0.220,382.717,0.141435
0.230,386.369,0.183292
0.240,386.858,0.346875
0.250,393.445,0.363530
0.260,396.579,0.730599
0.270,394.479,0.856983
0.280,393.254,0.907721
0.290,391.264,0.912355
0.300,389.634,0.946893
0.310,388.461,0.948768
0.320,388.674,0.946119
0.330,389.138,0.951460
0.340,389.522,0.950077
0.350,389.180,0.951697
0.360,388.679,0.952629
0.370,388.467,0.949458
0.380,388.049,0.946436
0.390,387.725,0.939410
0.400,387.543,0.937855
0.410,387.424,0.935519
0.420,387.975,0.941570
0.430,387.966,0.943610
0.440,388.275,0.947929
0.450,388.644,0.948370
0.460,388.840,0.951788
0.470,388.936,0.949988
0.480,388.573,0.950175
0.490,388.261,0.947043
0.500,388.120,0.945890
0.510,387.496,0.936085
0.520,387.625,0.940626
0.530,388.030,0.944817
0.540,388.169,0.946464
0.550,387.801,0.938421
0.560,387.462,0.934500
0.570,388.228,0.945993
0.580,388.976,0.951304
0.590,389.142,0.952570
0.600,389.233,0.951743
0.610,389.600,0.951524
0.620,389.810,0.948267
0.630,389.949,0.948786
0.640,389.665,0.951149
0.650,389.289,0.952991
0.660,389.169,0.951664
0.670,389.406,0.950354
0.680,389.544,0.950856
0.690,389.461,0.951708
0.700,389.556,0.953918
0.710,389.403,0.952155
0.720,389.179,0.952010
0.730,389.116,0.952170
0.740,389.200,0.951363
0.750,389.285,0.952547
0.760,389.422,0.951753
0.770,389.690,0.950643
0.780,389.726,0.950540
0.790,389.915,0.953117
0.800,389.847,0.951196
0.810,389.903,0.951298
0.820,389.991,0.948246
0.830,390.114,0.948609
0.840,390.019,0.947244
0.850,389.904,0.950016
0.860,389.723,0.950746
0.870,389.513,0.952717
0.880,389.742,0.952196
0.890,389.828,0.950887
0.900,389.827,0.952454
0.910,390.038,0.946180
0.920,390.411,0.944901
0.930,390.445,0.940587
0.940,390.746,0.938896
0.950,390.695,0.939512
0.960,390.689,0.939010
0.970,390.226,0.945375
0.980,389.738,0.951515
0.990,389.162,0.953142
1.000,388.641,0.949734
1.010,388.215,0.945496
1.020,388.155,0.939772
1.030,387.995,0.941019
1.040,388.218,0.942176
1.050,388.222,0.945192
1.060,388.493,0.950202
1.070,388.646,0.947614
1.080,388.336,0.945108
1.090,388.350,0.943002
1.100,388.129,0.940097
1.110,387.883,0.936682
1.120,387.868,0.934933
1.130,387.155,0.922750
1.140,387.014,0.921692
1.150,387.043,0.917059
1.160,386.877,0.913503
1.170,386.640,0.911820
1.180,386.608,0.912170
1.190,386.621,0.913410
1.200,386.791,0.908114
1.210,386.671,0.910246
1.220,387.022,0.919829
1.230,387.273,0.925547
1.240,387.375,0.923932
1.250,387.325,0.926743
1.260,387.300,0.925158
1.270,387.286,0.924416
1.280,386.879,0.913314
1.290,386.906,0.917933
1.300,386.754,0.908689
1.310,386.699,0.910728
1.320,386.670,0.909498
1.330,386.799,0.910186
1.340,386.758,0.910586
1.350,386.736,0.907810
1.360,386.526,0.911835
1.370,386.504,0.914826
1.380,386.395,0.920988
1.390,385.993,0.931986
1.400,385.931,0.932388
1.410,386.220,0.926242
1.420,386.558,0.914593
1.430,386.400,0.919581
1.440,386.497,0.918148
1.450,386.848,0.911438
1.460,386.966,0.916678
1.470,386.818,0.911945
1.480,386.999,0.914747
1.490,387.269,0.922111
1.500,387.695,0.935512
1.510,388.185,0.944982
1.520,388.604,0.951224
1.530,388.848,0.951291
1.540,388.767,0.949069
1.550,388.311,0.948311
1.560,388.061,0.939957
1.570,388.277,0.945082
1.580,388.610,0.946243
1.590,388.672,0.947992
1.600,388.979,0.951816
1.610,389.091,0.952335
1.620,388.830,0.951757
1.630,388.625,0.948211
1.640,388.418,0.947005
1.650,388.151,0.942445
1.660,387.886,0.936893
1.670,387.165,0.923243
1.680,387.155,0.925110
1.690,387.196,0.924546
1.700,387.286,0.929770
1.710,387.409,0.929485
1.720,387.726,0.935964
1.730,387.976,0.941499
1.740,388.244,0.942849
1.750,388.005,0.941058
1.760,388.367,0.946464
1.770,388.627,0.948775
1.780,388.631,0.952230
1.790,388.710,0.947949
1.800,388.391,0.947146
1.810,388.043,0.940993
1.820,387.916,0.939679
1.830,387.218,0.925992
1.840,387.043,0.925046
1.850,386.858,0.916089
1.860,386.885,0.916523
1.870,386.621,0.917949
1.880,386.529,0.923795
1.890,386.921,0.921428
1.900,387.362,0.930539
1.910,387.547,0.935964
1.920,387.696,0.941294
1.930,387.665,0.938104
1.940,387.332,0.929969
1.950,386.928,0.920384
1.960,386.886,0.914785
1.970,386.869,0.915923
1.980,386.993,0.919613
1.990,387.329,0.933117
2.000,387.838,0.944494
2.010,388.508,0.951534
2.020,388.941,0.950864
2.030,388.928,0.954248
2.040,388.995,0.950501
2.050,389.054,0.954163
2.060,389.384,0.952816
2.070,389.430,0.952581
2.080,389.148,0.953799
2.090,388.876,0.951742
2.100,388.384,0.948969
2.110,388.291,0.944606
2.120,387.903,0.941859
2.130,387.759,0.938141
2.140,387.821,0.940104
2.150,387.535,0.936381
2.160,387.632,0.939434
2.170,387.522,0.935130
2.180,387.254,0.930242
2.190,386.964,0.919682
2.200,386.856,0.918032
2.210,386.777,0.916490
2.220,386.831,0.914680
2.230,386.782,0.912372
2.240,387.261,0.929824
2.250,387.634,0.937167
2.260,387.354,0.930573
2.270,387.207,0.931119
2.280,387.432,0.932890
2.290,387.840,0.944768
2.300,388.161,0.947717
2.310,387.841,0.941225
2.320,387.617,0.939676
2.330,387.681,0.939750
2.340,387.792,0.939519
2.350,387.793,0.941993
2.360,387.813,0.938612
2.370,387.679,0.937743
2.380,387.577,0.938044
2.390,387.573,0.937758
2.400,387.888,0.944053
2.410,388.192,0.947134
2.420,388.156,0.946598
2.430,388.043,0.948726
2.440,388.172,0.949059
2.450,388.058,0.949225
2.460,388.017,0.947790
2.470,387.843,0.943595
2.480,387.754,0.943897
2.490,388.019,0.943755
2.500,388.092,0.944907
2.510,388.349,0.949326
2.520,389.060,0.948777
2.530,389.383,0.952032
2.540,389.429,0.950220
2.550,389.172,0.951796
2.560,388.876,0.952940
2.570,388.609,0.951154
2.580,388.343,0.949837
2.590,388.408,0.945310
2.600,388.187,0.944759
2.610,387.903,0.938002
2.620,387.905,0.939746
2.630,387.552,0.933852
2.640,387.617,0.937109
2.650,387.807,0.940684
2.660,387.929,0.943887
2.670,387.830,0.937523
2.680,387.644,0.937832
2.690,387.972,0.938871
2.700,388.121,0.941262
2.710,387.672,0.936905
2.720,387.505,0.935952
2.730,387.305,0.930989
2.740,387.282,0.929981
2.750,387.307,0.928164
2.760,387.433,0.933047
2.770,387.880,0.940300
2.780,388.224,0.944009
2.790,388.049,0.944858
2.800,388.552,0.949459
2.810,389.129,0.952668
2.820,389.513,0.953840
2.830,389.559,0.951524
2.840,389.875,0.953444
2.850,389.881,0.951327
2.860,389.712,0.953566
2.870,389.440,0.951973
2.880,388.958,0.951999
2.890,388.510,0.951127
2.900,388.226,0.948527
2.910,388.091,0.947867
2.920,388.466,0.947007
2.930,389.008,0.954305
2.940,389.547,0.952861
2.950,389.857,0.954809
2.960,390.011,0.951084
2.970,390.131,0.949273
2.980,390.174,0.951063
2.990,389.831,0.953459
3.000,389.418,0.955709
3.010,389.293,0.951358
3.020,389.334,0.956027
3.030,389.518,0.951992
3.040,389.747,0.955190
3.050,389.904,0.952432
3.060,390.045,0.953091
3.070,390.056,0.953365
3.080,389.998,0.953757
3.090,389.646,0.955092
3.100,389.444,0.952092
3.110,389.357,0.954000
3.120,389.185,0.950053
3.130,389.012,0.952732
3.140,388.905,0.951164
3.150,388.508,0.948734
3.160,388.326,0.950085
3.170,387.944,0.943324
3.180,387.331,0.932171
3.190,386.876,0.915369
3.200,386.798,0.911325
3.210,386.657,0.916097
3.220,386.792,0.912073
3.230,386.936,0.920502
3.240,387.267,0.930485
3.250,387.528,0.934185
3.260,387.576,0.933362
3.270,387.472,0.935059
3.280,387.728,0.938278
3.290,387.927,0.942748
3.300,387.696,0.938312
3.310,387.520,0.937451
3.320,387.690,0.940089
