time,frequency,confidence
0.000,129.752,0.144936
0.010,132.503,0.217823
0.020,132.970,0.431165
0.030,130.857,0.331495
0.040,130.416,0.299832
0.050,130.539,0.318969
0.060,131.555,0.667598
0.070,131.118,0.726892
0.080,130.341,0.459842
0.090,129.423,0.203521
0.100,129.975,0.317377
0.110,130.384,0.493832
0.120,130.848,0.489061
0.130,130.698,0.330875
0.140,130.961,0.603558
0.150,130.699,0.800061
0.160,130.677,0.775669
0.170,130.187,0.706758
0.180,130.048,0.652116
0.190,131.187,0.447250
0.200,131.860,0.486955
0.210,132.022,0.624461
0.220,131.822,0.692049
0.230,132.420,0.616192
0.240,130.736,0.572124
0.250,128.891,0.390451
0.260,129.510,0.240815
0.270,131.581,0.305455
0.280,130.933,0.236071
0.290,130.225,0.168169
0.300,130.806,0.194861
0.310,130.642,0.337361
0.320,130.873,0.711639
0.330,132.659,0.653277
0.340,131.837,0.405505
0.350,132.943,0.260417
0.360,129.106,0.369652
0.370,122.840,0.431239
0.380,121.468,0.452191
0.390,121.953,0.330331
0.400,121.663,0.387634
0.410,120.068,0.337044
0.420,115.242,0.208062
0.430,111.452,0.432650
0.440,111.416,0.516193
0.450,111.326,0.650851
0.460,111.818,0.718541
0.470,111.328,0.748643
0.480,111.088,0.766912
0.490,111.465,0.725148
0.500,111.817,0.730896
0.510,112.968,0.627042
0.520,113.609,0.552066
0.530,113.532,0.524047
0.540,114.551,0.581566
0.550,113.704,0.383541
0.560,112.532,0.468003
0.570,111.107,0.502095
0.580,109.812,0.528987
0.590,109.847,0.700843
0.600,110.919,0.630145
0.610,111.446,0.481406
0.620,111.044,0.620378
0.630,110.499,0.788834
0.640,110.222,0.882195
0.650,110.087,0.932714
0.660,109.854,0.930498
0.670,109.803,0.926080
0.680,109.746,0.929933
0.690,109.718,0.926489
0.700,109.763,0.929619
0.710,109.716,0.920713
0.720,109.485,0.896430
0.730,109.387,0.907074
0.740,109.534,0.911438
0.750,109.795,0.943622
0.760,109.974,0.958383
0.770,110.089,0.961719
0.780,110.232,0.947730
0.790,110.674,0.736809
0.800,114.829,0.517251
0.810,115.622,0.620637
0.820,115.769,0.759064
0.830,116.360,0.831547
0.840,117.545,0.787804
0.850,118.724,0.640808
0.860,118.932,0.694722
0.870,118.754,0.674049
0.880,118.641,0.814841
0.890,119.182,0.837113
0.900,119.401,0.785185
0.910,119.366,0.802358
0.920,119.434,0.874067
0.930,119.479,0.885136
0.940,119.930,0.846024
0.950,119.965,0.840099
0.960,119.859,0.874032
0.970,119.815,0.901041
0.980,119.960,0.876573
0.990,120.285,0.864224
1.000,120.461,0.873122
1.010,120.308,0.888701
1.020,119.923,0.830547
1.030,119.844,0.498735
1.040,120.548,0.525276
1.050,124.446,0.670081
1.060,126.514,0.809898
1.070,127.770,0.835794
1.080,127.655,0.737125
1.090,129.024,0.680763
1.100,129.878,0.602167
1.110,130.506,0.649870
1.120,130.687,0.698328
1.130,130.333,0.687937
1.140,130.066,0.709462
1.150,129.863,0.732813
1.160,129.942,0.774894
1.170,129.969,0.826532
1.180,130.585,0.852155
1.190,130.327,0.855868
1.200,130.254,0.876834
1.210,130.330,0.892190
1.220,130.576,0.904372
1.230,130.967,0.933678
1.240,131.195,0.926641
1.250,131.453,0.936533
1.260,131.498,0.932204
1.270,131.524,0.933196
1.280,131.373,0.946233
1.290,131.437,0.938853
1.300,131.515,0.945028
1.310,131.471,0.950522
1.320,131.393,0.946958
1.330,131.371,0.947789
1.340,131.416,0.952607
1.350,131.263,0.947130
1.360,131.108,0.943418
1.370,131.085,0.940462
1.380,131.110,0.943516
1.390,130.776,0.933212
1.400,130.507,0.894027
1.410,130.371,0.883474
1.420,130.280,0.875974
1.430,130.296,0.882759
1.440,130.463,0.887217
1.450,130.419,0.871097
1.460,130.438,0.877689
1.470,130.689,0.903323
1.480,130.804,0.912231
1.490,130.749,0.913338
1.500,130.936,0.914083
1.510,131.232,0.939877
1.520,131.400,0.928321
1.530,131.565,0.929063
1.540,131.751,0.931938
1.550,131.767,0.922957
1.560,131.741,0.927335
1.570,131.691,0.931072
1.580,131.569,0.934251
1.590,131.498,0.938577
1.600,131.396,0.940494
1.610,131.205,0.933418
1.620,131.038,0.938821
1.630,130.985,0.933642
1.640,130.599,0.907830
1.650,130.318,0.892649
1.660,129.646,0.877969
1.670,129.431,0.868515
1.680,129.322,0.830802
1.690,129.469,0.845028
1.700,129.764,0.873970
1.710,129.968,0.877961
1.720,130.164,0.862590
1.730,130.604,0.880941
1.740,130.947,0.923558
1.750,131.104,0.931724
1.760,131.297,0.926540
1.770,131.539,0.935972
1.780,131.635,0.922819
1.790,131.605,0.923580
1.800,131.585,0.932375
1.810,131.577,0.931375
1.820,131.482,0.932829
1.830,131.215,0.939549
1.840,131.026,0.932825
1.850,130.830,0.928032
1.860,130.828,0.920216
1.870,130.493,0.884409
1.880,130.124,0.885837
1.890,129.879,0.879684
1.900,130.109,0.893964
1.910,130.117,0.885235
1.920,130.128,0.881827
1.930,130.367,0.883796
1.940,130.594,0.890177
1.950,130.720,0.912823
1.960,131.088,0.930221
1.970,131.250,0.933539
1.980,131.350,0.930386
1.990,131.654,0.929879
2.000,131.639,0.931148
2.010,131.388,0.932923
2.020,131.373,0.937513
2.030,131.374,0.943210
2.040,131.170,0.934536
2.050,130.929,0.930503
2.060,130.836,0.932802
2.070,130.636,0.902498
2.080,130.367,0.883533
2.090,130.141,0.892891
2.100,129.966,0.878261
2.110,129.850,0.894511
2.120,130.104,0.889409
2.130,130.453,0.891625
2.140,130.510,0.889764
2.150,130.714,0.918000
2.160,131.131,0.944097
2.170,131.263,0.935834
2.180,131.349,0.938909
2.190,131.507,0.940934
2.200,131.488,0.936071
2.210,131.406,0.941516
2.220,131.332,0.943199
2.230,131.158,0.940096
2.240,130.942,0.936340
2.250,130.861,0.929022
2.260,130.560,0.907078
2.270,130.300,0.900651
2.280,130.201,0.894102
2.290,130.370,0.903741
