time,frequency,confidence
0.000,149.909,0.027131
0.010,148.011,0.041406
0.020,148.711,0.094085
0.030,147.118,0.562692
0.040,146.354,0.716208
0.050,146.954,0.644374
0.060,147.264,0.527758
0.070,148.026,0.587876
0.080,147.046,0.391265
0.090,147.008,0.033858
0.100,147.495,0.048142
0.110,148.107,0.185269
0.120,147.809,0.118137
0.130,149.690,0.045919
0.140,143.870,0.329954
0.150,140.612,0.199285
0.160,143.358,0.617730
0.170,145.034,0.840089
0.180,146.139,0.904866
0.190,146.875,0.931946
0.200,147.378,0.959416
0.210,147.275,0.963322
0.220,147.522,0.955250
0.230,147.388,0.960472
0.240,147.524,0.962761
0.250,147.472,0.957364
0.260,147.429,0.961898
0.270,147.344,0.965611
0.280,147.238,0.967893
0.290,147.282,0.967341
0.300,147.244,0.969292
0.310,147.383,0.966489
0.320,147.176,0.967229
0.330,147.396,0.966495
0.340,147.399,0.947750
0.350,147.031,0.925508
0.360,146.865,0.902995
0.370,145.666,0.174350
0.380,140.665,0.330066
0.390,135.381,0.544786
0.400,131.707,0.716210
0.410,130.540,0.745647
0.420,130.627,0.854361
0.430,130.442,0.837804
0.440,130.631,0.874179
0.450,130.757,0.871959
0.460,130.959,0.895032
0.470,131.056,0.903083
0.480,131.060,0.899069
0.490,130.904,0.897406
0.500,130.753,0.901289
0.510,130.666,0.877415
0.520,130.699,0.853241
0.530,131.701,0.822241
0.540,133.589,0.775119
0.550,137.896,0.540787
0.560,141.068,0.636831
0.570,145.314,0.775820
0.580,146.876,0.861960
0.590,146.972,0.850851
0.600,146.762,0.803059
0.610,147.203,0.750665
0.620,147.281,0.767518
0.630,147.846,0.793259
0.640,147.518,0.794391
0.650,147.538,0.814777
0.660,147.509,0.837365
0.670,147.201,0.879644
0.680,147.716,0.862793
0.690,147.793,0.871745
0.700,147.596,0.881247
0.710,147.732,0.882725
0.720,147.804,0.894647
0.730,147.240,0.873400
0.740,147.514,0.790890
0.750,148.980,0.567523
0.760,149.273,0.256044
0.770,152.623,0.158539
0.780,150.253,0.437849
0.790,156.761,0.301268
0.800,158.603,0.543871
0.810,157.628,0.650612
0.820,158.326,0.585565
0.830,159.833,0.697689
0.840,159.442,0.725518
0.850,159.956,0.711574
0.860,160.728,0.785797
0.870,160.390,0.789289
0.880,159.013,0.723114
0.890,157.980,0.665360
0.900,158.132,0.738026
0.910,159.262,0.768761
0.920,159.344,0.701675
0.930,160.085,0.734085
0.940,160.994,0.764781
0.950,162.346,0.736406
0.960,163.542,0.740036
0.970,161.475,0.563397
0.980,156.798,0.386163
0.990,167.945,0.323538
1.000,171.791,0.748290
1.010,171.734,0.875931
1.020,171.787,0.890439
1.030,171.426,0.889261
1.040,171.572,0.865430
1.050,171.973,0.871155
1.060,172.406,0.884007
1.070,172.463,0.861568
