time,frequency,confidence
0.000,590.863,0.128714
0.010,629.663,0.144410
0.020,634.469,0.201261
0.030,643.293,0.220332
0.040,627.280,0.108301
0.050,619.820,0.134252
0.060,615.949,0.362122
0.070,593.205,0.156986
0.080,583.688,0.173482
0.090,588.473,0.361569
0.100,592.314,0.124289
0.110,590.396,0.194959
0.120,590.534,0.187882
0.130,588.097,0.282484
0.140,589.921,0.131700
0.150,586.477,0.179897
0.160,591.274,0.209958
0.170,595.991,0.196864
0.180,576.108,0.106325
0.190,532.129,0.163278
0.200,486.931,0.203887
0.210,449.433,0.294856
0.220,428.653,0.303117
0.230,403.418,0.244858
0.240,377.636,0.061652
0.250,346.233,0.020325
0.260,320.138,0.044732
0.270,303.217,0.021693
0.280,285.141,0.128553
0.290,260.792,0.030273
0.300,243.193,0.098832
0.310,228.105,0.109703
0.320,212.988,0.100868
0.330,223.427,0.359434
0.340,214.330,0.489742
0.350,209.491,0.680044
0.360,206.822,0.865789
0.370,207.022,0.903216
0.380,207.365,0.905102
0.390,208.888,0.924384
0.400,211.383,0.912734
0.410,214.903,0.891315
0.420,218.945,0.871235
0.430,221.845,0.875434
0.440,225.723,0.907565
0.450,229.773,0.842580
0.460,233.714,0.927631
0.470,236.580,0.926948
0.480,240.255,0.921431
0.490,244.985,0.933910
0.500,249.888,0.914811
0.510,255.362,0.839784
0.520,265.013,0.823243
0.530,271.677,0.925575
0.540,274.982,0.962079
0.550,276.978,0.956049
0.560,279.139,0.941798
0.570,282.280,0.932970
0.580,285.467,0.928684
0.590,290.950,0.816043
0.600,299.585,0.874660
0.610,304.656,0.909008
0.620,309.780,0.900638
0.630,313.514,0.946295
0.640,318.311,0.928290
0.650,323.863,0.918603
0.660,326.804,0.955579
0.670,327.875,0.958843
0.680,328.297,0.954207
0.690,328.947,0.954048
0.700,329.560,0.971612
0.710,329.827,0.974213
0.720,329.929,0.976080
0.730,330.054,0.976538
0.740,330.319,0.976318
0.750,330.906,0.974401
0.760,331.507,0.966809
0.770,332.131,0.955218
0.780,332.583,0.935173
0.790,333.087,0.938823
0.800,333.637,0.943195
0.810,333.772,0.935247
0.820,333.322,0.925015
0.830,332.492,0.903872
0.840,331.234,0.938512
0.850,330.297,0.945315
0.860,329.787,0.943022
0.870,329.326,0.938208
0.880,328.493,0.915966
0.890,326.750,0.897394
0.900,320.922,0.728889
0.910,313.288,0.844793
0.920,306.464,0.806382
0.930,300.363,0.780646
0.940,294.260,0.677075
0.950,290.575,0.880013
0.960,290.704,0.948896
0.970,292.605,0.914469
0.980,296.753,0.905903
0.990,302.115,0.928729
1.000,306.912,0.885226
1.010,310.713,0.921052
1.020,312.250,0.964841
1.030,312.882,0.963553
1.040,312.689,0.969687
1.050,311.561,0.959888
1.060,308.961,0.953941
1.070,305.041,0.925239
1.080,300.125,0.867180
1.090,294.436,0.898498
1.100,292.472,0.933357
1.110,294.169,0.945851
1.120,297.755,0.936461
1.130,302.299,0.935785
1.140,305.509,0.936761
1.150,309.502,0.939068
1.160,311.598,0.964272
1.170,312.550,0.972010
1.180,312.341,0.971600
1.190,310.854,0.947072
1.200,306.809,0.925386
1.210,302.226,0.895095
1.220,295.557,0.744180
1.230,287.441,0.881356
1.240,284.132,0.968531
1.250,283.608,0.972096
1.260,284.937,0.965668
1.270,288.001,0.954312
1.280,291.178,0.941144
1.290,295.151,0.926476
1.300,299.559,0.927550
1.310,303.008,0.935334
1.320,306.185,0.934512
1.330,308.255,0.965563
1.340,308.045,0.971773
1.350,305.188,0.966946
1.360,300.927,0.908378
1.370,292.046,0.781302
1.380,285.547,0.923108
1.390,281.902,0.928716
1.400,277.978,0.932421
1.410,274.347,0.944968
1.420,269.191,0.936597
1.430,264.371,0.927920
1.440,263.047,0.948062
1.450,266.090,0.943558
1.460,270.097,0.901240
1.470,273.417,0.912653
1.480,275.843,0.936974
1.490,279.038,0.912758
1.500,283.585,0.932838
1.510,285.790,0.937371
1.520,287.963,0.943276
1.530,290.838,0.940978
1.540,292.720,0.937918
1.550,292.321,0.946456
1.560,288.952,0.920025
1.570,287.163,0.966534
1.580,286.922,0.968497
1.590,288.117,0.963890
1.600,289.730,0.933276
1.610,293.150,0.909760
1.620,298.680,0.920779
1.630,303.569,0.921373
1.640,307.863,0.942562
1.650,311.993,0.959952
1.660,314.946,0.949896
1.670,318.599,0.934153
1.680,323.101,0.914274
1.690,325.899,0.925273
1.700,326.697,0.949649
1.710,327.023,0.951285
1.720,327.665,0.948908
1.730,328.330,0.941813
1.740,329.323,0.957505
1.750,330.173,0.973482
1.760,331.020,0.971536
1.770,331.371,0.967778
1.780,331.071,0.971509
1.790,330.258,0.974644
1.800,329.652,0.968921
1.810,329.503,0.967161
1.820,329.926,0.972546
1.830,330.809,0.974133
1.840,331.526,0.969697
1.850,332.367,0.954413
1.860,333.319,0.954701
1.870,334.015,0.957014
1.880,334.486,0.952749
1.890,334.588,0.951324
1.900,334.464,0.955822
1.910,334.140,0.950691
1.920,333.710,0.946802
1.930,333.610,0.944144
1.940,333.684,0.930616
1.950,333.707,0.932862
1.960,333.842,0.936518
1.970,333.767,0.931378
1.980,333.450,0.934702
1.990,333.095,0.931432
2.000,332.216,0.931573
2.010,331.640,0.950284
2.020,331.476,0.957060
2.030,331.162,0.964154
2.040,330.962,0.969034
2.050,330.733,0.973348
2.060,330.472,0.976583
2.070,330.374,0.972103
2.080,330.388,0.969568
2.090,330.356,0.967238
2.100,330.157,0.967066
2.110,329.607,0.961780
2.120,329.044,0.946742
2.130,328.678,0.927884
2.140,328.590,0.935295
2.150,328.350,0.942330
2.160,328.218,0.949658
2.170,328.559,0.936717
2.180,328.861,0.936596
2.190,329.065,0.944875
2.200,329.444,0.955672
2.210,330.163,0.967190
2.220,331.022,0.965611
2.230,330.944,0.968369
2.240,330.644,0.974012
2.250,330.496,0.975758
2.260,330.381,0.974990
2.270,330.317,0.969659
2.280,329.992,0.966207
2.290,329.506,0.958801
2.300,329.028,0.945947
2.310,328.759,0.934184
2.320,329.117,0.947926
2.330,329.627,0.959926
2.340,329.939,0.968845
2.350,330.229,0.976239
2.360,330.575,0.976543
2.370,331.020,0.971638
2.380,331.093,0.967701
2.390,330.893,0.966967
2.400,330.754,0.971207
2.410,330.548,0.973474
2.420,330.424,0.973173
2.430,330.535,0.974046
2.440,330.483,0.973777
2.450,330.322,0.967517
2.460,330.232,0.964529
2.470,330.169,0.963350
2.480,329.875,0.961891
2.490,329.363,0.958072
2.500,329.078,0.948376
2.510,329.132,0.949900
2.520,329.055,0.944866
2.530,328.954,0.941540
2.540,329.177,0.950041
2.550,329.997,0.965819
2.560,330.599,0.967412
2.570,330.930,0.968947
2.580,331.205,0.971672
2.590,331.198,0.972451
2.600,331.013,0.973257
2.610,330.635,0.971137
2.620,329.983,0.962527
2.630,329.264,0.943697
2.640,328.321,0.930894
2.650,327.716,0.949830
2.660,327.351,0.957051
2.670,327.699,0.957260
2.680,328.688,0.931350
2.690,329.481,0.960826
2.700,330.164,0.969666
2.710,330.407,0.976425
2.720,330.702,0.975684
2.730,331.096,0.971965
2.740,331.116,0.971609
2.750,331.112,0.967550
2.760,330.975,0.965378
2.770,330.655,0.962619
2.780,330.092,0.955531
2.790,329.003,0.930147
2.800,328.298,0.936158
2.810,328.315,0.937752
2.820,329.060,0.942264
2.830,329.931,0.966267
2.840,330.725,0.970589
2.850,332.308,0.939256
2.860,333.361,0.950214
2.870,334.261,0.961481
2.880,335.056,0.962199
2.890,335.696,0.955318
2.900,336.479,0.936545
2.910,336.878,0.930726
2.920,336.625,0.926157
2.930,335.759,0.947927
2.940,334.815,0.959784
2.950,333.941,0.960086
2.960,332.837,0.947145
2.970,331.903,0.964972
2.980,331.241,0.972042
2.990,330.881,0.973234
3.000,330.814,0.969821
3.010,331.004,0.962861
3.020,330.870,0.960778
3.030,330.488,0.959693
3.040,330.010,0.958674
3.050,329.555,0.954490
3.060,329.625,0.950140
3.070,330.116,0.957723
3.080,330.366,0.958659
3.090,330.183,0.957262
3.100,329.713,0.959002
3.110,329.866,0.966879
3.120,330.303,0.972948
3.130,330.901,0.973193
3.140,331.521,0.965267
3.150,331.884,0.960606
3.160,332.524,0.946944
3.170,333.234,0.953910
3.180,334.070,0.961501
3.190,334.835,0.963040
3.200,334.721,0.965707
3.210,333.985,0.966472
3.220,333.045,0.956630
3.230,332.328,0.961937
3.240,331.734,0.974494
3.250,331.559,0.976903
3.260,331.972,0.970419
3.270,332.703,0.954004
3.280,333.367,0.966033
3.290,333.484,0.968656
3.300,333.396,0.968154
3.310,333.125,0.961415
3.320,332.698,0.950556
3.330,332.222,0.965758
3.340,331.812,0.972761
3.350,331.590,0.973369
3.360,331.404,0.975297
3.370,331.410,0.973436
3.380,331.383,0.972354
3.390,331.205,0.973540
3.400,330.965,0.974465
3.410,330.909,0.976286
3.420,330.734,0.977896
3.430,330.669,0.977387
3.440,330.789,0.976678
3.450,330.836,0.977353
3.460,330.924,0.973120
3.470,330.900,0.969072
3.480,330.587,0.966446
3.490,329.927,0.958687
