time,frequency,confidence
0.000,1662.297,0.162854
0.010,1667.142,0.372334
0.020,1658.473,0.273174
0.030,1750.339,0.320277
0.040,1756.267,0.391655
0.050,1591.880,0.335256
0.060,1585.518,0.291075
0.070,1567.110,0.305099
0.080,1696.721,0.423095
0.090,1745.227,0.541396
0.100,1751.471,0.357297
0.110,1668.205,0.258776
0.120,1502.664,0.206355
0.130,1501.420,0.248056
0.140,1561.938,0.297070
0.150,1565.713,0.380147
0.160,1570.690,0.485353
0.170,1576.728,0.215557
0.180,1589.267,0.079418
0.190,1625.840,0.098221
0.200,1593.535,0.115169
0.210,1701.124,0.170852
0.220,1696.195,0.271803
0.230,1582.829,0.118229
0.240,1684.264,0.060499
0.250,1730.252,0.138288
0.260,1734.888,0.071823
0.270,1712.302,0.051332
0.280,1679.180,0.097738
0.290,1629.233,0.098662
0.300,1585.304,0.079567
0.310,1623.888,0.131220
0.320,1655.756,0.140111
0.330,1656.305,0.058448
0.340,1647.539,0.125184
0.350,1588.417,0.399203
0.360,1596.802,0.177314
0.370,1589.627,0.240467
0.380,1575.428,0.449048
0.390,1566.383,0.658696
0.400,1575.080,0.454050
0.410,1576.730,0.259289
0.420,1572.638,0.139312
0.430,1569.139,0.090474
0.440,1571.155,0.033352
0.450,1792.376,0.017918
0.460,1750.436,0.026139
0.470,1656.016,0.042622
0.480,1593.062,0.150764
0.490,1542.391,0.052277
0.500,1500.079,0.076475
0.510,1386.489,0.162187
0.520,1258.135,0.065535
0.530,1164.345,0.200902
0.540,1099.075,0.252195
0.550,991.685,0.278164
0.560,912.135,0.134081
0.570,858.182,0.107766
0.580,761.765,0.078851
0.590,710.438,0.139554
0.600,655.410,0.075384
0.610,618.257,0.010935
0.620,560.649,0.077727
0.630,502.925,0.093004
0.640,461.722,0.030699
0.650,422.619,0.033171
0.660,383.131,0.079546
0.670,351.713,0.018339
0.680,317.666,0.036398
0.690,294.925,0.049068
0.700,262.396,0.085677
0.710,242.772,0.067230
0.720,221.102,0.047881
0.730,227.008,0.318714
0.740,235.467,0.300734
0.750,238.432,0.543958
0.760,237.064,0.737064
0.770,237.823,0.836624
0.780,238.479,0.871944
0.790,238.777,0.926108
0.800,240.495,0.917883
0.810,242.674,0.953101
0.820,244.564,0.944033
0.830,246.365,0.921058
0.840,247.583,0.944087
0.850,248.438,0.933447
