time,frequency,confidence
0.000,280.528,0.013506
0.010,285.524,0.401942
0.020,285.776,0.244647
0.030,284.152,0.053848
0.040,285.868,0.126310
0.050,287.616,0.027201
0.060,285.469,0.127786
0.070,290.216,0.081395
0.080,293.391,0.062176
0.090,294.840,0.050899
0.100,294.218,0.065456
0.110,298.941,0.044820
0.120,300.159,0.055888
0.130,296.818,0.069009
0.140,298.657,0.273826
0.150,291.452,0.022647
0.160,292.414,0.240056
0.170,292.363,0.071593
0.180,294.214,0.075932
0.190,294.407,0.074890
0.200,290.751,0.146573
0.210,301.633,0.113708
0.220,312.076,0.184016
0.230,320.064,0.142151
0.240,322.671,0.106149
0.250,308.807,0.155592
0.260,320.031,0.253360
0.270,316.290,0.099203
0.280,309.561,0.214264
0.290,323.042,0.145644
0.300,367.100,0.365398
0.310,389.582,0.253122
0.320,411.890,0.206357
0.330,444.945,0.239475
0.340,475.580,0.202374
0.350,523.112,0.056256
0.360,559.608,0.077280
0.370,591.879,0.108009
0.380,590.994,0.155463
0.390,588.381,0.161300
0.400,592.613,0.090140
0.410,607.891,0.145623
0.420,622.725,0.134010
0.430,631.513,0.091043
0.440,649.780,0.060483
0.450,644.555,0.056417
0.460,632.957,0.056590
0.470,591.521,0.063577
0.480,594.043,0.052803
0.490,598.365,0.133242
0.500,606.576,0.109068
0.510,619.483,0.124255
0.520,619.514,0.141979
0.530,618.109,0.571954
0.540,615.047,0.298572
0.550,624.142,0.060737
0.560,630.651,0.114472
0.570,596.840,0.198701
0.580,593.905,0.152312
0.590,621.923,0.051343
0.600,622.318,0.106963
0.610,629.746,0.125680
0.620,597.308,0.189593
0.630,600.394,0.063781
0.640,598.706,0.176589
0.650,593.635,0.178491
0.660,598.649,0.069770
0.670,599.271,0.103405
0.680,599.346,0.066031
0.690,623.915,0.094265
0.700,581.942,0.040527
0.710,524.763,0.024790
0.720,471.018,0.031877
0.730,431.756,0.083048
0.740,394.932,0.070546
0.750,357.276,0.027675
0.760,316.868,0.044192
0.770,291.786,0.046326
0.780,257.119,0.089963
0.790,230.569,0.031882
0.800,211.778,0.054259
0.810,206.434,0.135562
0.820,202.773,0.100552
0.830,202.505,0.234200
0.840,199.305,0.198321
0.850,196.438,0.387278
0.860,193.574,0.464417
0.870,190.161,0.657428
0.880,188.573,0.794614
0.890,186.385,0.883966
0.900,185.135,0.934085
0.910,184.895,0.931180
0.920,185.738,0.930446
0.930,187.739,0.895076
0.940,191.451,0.813306
0.950,195.665,0.827386
0.960,199.442,0.838191
0.970,203.230,0.894480
0.980,206.600,0.939044
0.990,209.055,0.938144
1.000,210.914,0.960708
1.010,212.259,0.952539
1.020,212.954,0.957788
1.030,213.797,0.943353
1.040,214.142,0.931162
1.050,214.407,0.930718
1.060,214.695,0.946401
1.070,214.992,0.952725
1.080,215.782,0.957137
1.090,217.304,0.942516
1.100,219.121,0.926710
1.110,221.190,0.954070
1.120,222.913,0.946872
1.130,224.269,0.931758
1.140,225.055,0.945335
1.150,225.654,0.957888
1.160,225.959,0.955524
1.170,226.571,0.939020
1.180,226.691,0.931124
1.190,226.857,0.924512
1.200,226.669,0.927450
1.210,226.201,0.934960
1.220,225.059,0.926860
1.230,223.307,0.928079
1.240,220.458,0.912012
1.250,216.973,0.877634
1.260,213.371,0.906607
1.270,210.029,0.925848
1.280,208.364,0.952235
1.290,207.548,0.954026
1.300,206.800,0.956715
1.310,206.198,0.965557
1.320,205.492,0.963454
1.330,204.901,0.942775
1.340,204.228,0.954789
1.350,203.896,0.952651
1.360,203.950,0.946017
1.370,205.140,0.932692
1.380,207.049,0.922786
1.390,209.364,0.915538
1.400,212.186,0.909342
1.410,215.963,0.912341
1.420,219.567,0.895676
1.430,222.816,0.929886
1.440,225.145,0.933169
1.450,226.166,0.946833
1.460,225.550,0.951131
1.470,224.044,0.942277
1.480,221.762,0.910209
1.490,219.250,0.908316
1.500,217.761,0.952064
1.510,217.269,0.940972
1.520,217.528,0.948304
1.530,218.495,0.944840
1.540,220.029,0.945839
1.550,221.996,0.903180
1.560,223.700,0.951549
1.570,224.628,0.927210
1.580,224.842,0.945177
1.590,225.431,0.951195
1.600,226.188,0.952600
1.610,227.330,0.909215
1.620,229.422,0.903272
1.630,232.704,0.878338
1.640,237.554,0.879821
1.650,242.212,0.955179
1.660,245.866,0.932797
1.670,248.909,0.913211
1.680,251.427,0.949176
1.690,252.402,0.939587
1.700,251.749,0.938664
1.710,250.099,0.935086
1.720,247.276,0.916588
1.730,244.966,0.940732
1.740,241.847,0.956906
1.750,239.357,0.948190
1.760,239.131,0.962115
1.770,240.637,0.954691
1.780,242.103,0.980064
1.790,243.578,0.946260
1.800,245.287,0.967837
1.810,246.403,0.937418
1.820,246.226,0.944290
1.830,245.289,0.960153
