time,frequency,confidence
0.000,1457.799,0.028484
0.010,1469.266,0.241421
0.020,1496.529,0.047793
0.030,1492.634,0.068219
0.040,1493.663,0.098538
0.050,1495.423,0.086560
0.060,1500.856,0.175003
0.070,1502.419,0.122830
0.080,1489.486,0.102111
0.090,1495.556,0.093842
0.100,1504.446,0.120955
0.110,1495.934,0.077029
0.120,1488.199,0.135311
0.130,1496.726,0.303387
0.140,1516.894,0.225960
0.150,1492.309,0.194184
0.160,1500.612,0.377993
0.170,1521.479,0.332585
0.180,1543.442,0.222443
0.190,1555.549,0.411425
0.200,1571.423,0.498073
0.210,1582.167,0.384622
0.220,1585.032,0.144338
0.230,1496.488,0.447298
0.240,1504.194,0.382018
0.250,1513.236,0.258170
0.260,1484.882,0.244440
0.270,1497.943,0.098460
0.280,1549.837,0.070997
0.290,1499.985,0.116192
0.300,1437.723,0.119551
0.310,1370.974,0.181416
0.320,1285.558,0.083899
0.330,1237.412,0.126914
0.340,1155.022,0.131321
0.350,1091.985,0.113545
0.360,1046.432,0.036299
0.370,984.396,0.010878
0.380,943.147,0.053067
0.390,899.009,0.225792
0.400,864.479,0.116455
0.410,817.979,0.160271
0.420,790.718,0.412953
0.430,758.784,0.408248
0.440,709.660,0.238819
0.450,687.528,0.045810
0.460,657.040,0.660445
0.470,617.810,0.617883
0.480,591.897,0.041833
0.490,572.267,0.029360
0.500,527.996,0.060617
0.510,495.144,0.162451
0.520,471.385,0.230751
0.530,438.360,0.112778
0.540,423.718,0.015093
0.550,400.066,0.044559
0.560,377.800,0.019145
0.570,356.759,0.051775
0.580,331.493,0.289461
0.590,316.813,0.090963
0.600,294.471,0.101916
0.610,282.129,0.041415
0.620,260.416,0.042431
0.630,247.559,0.016754
0.640,237.145,0.014561
0.650,224.457,0.047540
0.660,211.499,0.028380
0.670,211.193,0.021127
0.680,217.532,0.117299
0.690,223.185,0.110857
0.700,224.268,0.147405
0.710,219.853,0.136888
0.720,219.448,0.201087
0.730,214.412,0.440752
0.740,212.944,0.559218
0.750,210.158,0.723104
0.760,207.683,0.882008
0.770,206.773,0.927317
0.780,205.637,0.940429
0.790,204.949,0.919540
0.800,204.582,0.918565
0.810,204.634,0.914210
0.820,206.040,0.931849
0.830,207.369,0.914678
0.840,208.597,0.942064
0.850,209.619,0.912399
0.860,210.835,0.945106
0.870,211.833,0.921977
0.880,213.222,0.935507
0.890,214.758,0.906945
0.900,216.770,0.880221
0.910,219.102,0.897129
0.920,220.900,0.951412
0.930,222.616,0.934653
0.940,223.745,0.935013
0.950,224.996,0.915747
0.960,226.226,0.934496
0.970,226.770,0.930962
0.980,227.200,0.910400
0.990,227.071,0.911288
1.000,227.049,0.912992
1.010,226.514,0.941330
1.020,225.569,0.951947
1.030,224.549,0.925949
1.040,223.842,0.951417
1.050,222.943,0.959579
1.060,221.935,0.925809
1.070,220.762,0.957999
1.080,219.847,0.943499
1.090,219.357,0.915606
