time,frequency,confidence
0.000,130.307,0.118422
0.010,128.027,0.447306
0.020,127.474,0.300484
0.030,127.144,0.342672
0.040,126.333,0.181167
0.050,126.222,0.137683
0.060,128.161,0.158102
0.070,128.621,0.340391
0.080,129.239,0.539698
0.090,130.286,0.643809
0.100,127.469,0.585250
0.110,129.528,0.244885
0.120,133.431,0.290690
0.130,140.173,0.240761
0.140,140.214,0.238601
0.150,137.752,0.040231
0.160,131.583,0.078759
0.170,125.730,0.104853
0.180,119.626,0.244009
0.190,121.459,0.063519
0.200,122.742,0.024783
0.210,120.526,0.107828
0.220,119.783,0.012508
0.230,121.311,0.043966
0.240,124.235,0.099771
0.250,126.209,0.063112
0.260,129.319,0.149149
0.270,129.499,0.022590
0.280,130.046,0.058520
0.290,130.943,0.043116
0.300,133.713,0.055864
0.310,138.895,0.019183
0.320,142.396,0.097630
0.330,138.874,0.146285
0.340,141.513,0.317653
0.350,146.618,0.234510
0.360,147.601,0.263437
0.370,152.032,0.212292
0.380,152.788,0.086830
0.390,158.543,0.107221
0.400,159.370,0.080757
0.410,161.663,0.082685
0.420,163.439,0.104195
0.430,163.792,0.118666
0.440,160.901,0.112906
0.450,159.767,0.280403
0.460,161.673,0.177889
0.470,162.637,0.104159
0.480,162.890,0.112552
0.490,162.122,0.083726
0.500,160.322,0.447091
0.510,154.646,0.663940
0.520,156.073,0.849682
0.530,158.279,0.870503
0.540,161.189,0.811173
0.550,164.928,0.849665
0.560,168.919,0.772423
0.570,174.294,0.832262
0.580,178.859,0.883484
0.590,181.203,0.941393
0.600,182.328,0.928898
0.610,182.939,0.940722
0.620,182.753,0.924739
0.630,181.558,0.913423
0.640,179.107,0.856873
0.650,177.030,0.776311
0.660,176.210,0.341791
0.670,175.478,0.109972
0.680,170.769,0.193144
0.690,165.634,0.067193
0.700,161.947,0.100622
0.710,180.445,0.552050
0.720,183.619,0.717027
0.730,186.264,0.862911
0.740,189.118,0.834716
0.750,193.509,0.833199
0.760,197.666,0.857126
0.770,201.879,0.893932
0.780,204.489,0.932061
0.790,205.689,0.957777
0.800,206.375,0.960686
0.810,206.494,0.961889
0.820,206.553,0.960569
0.830,206.626,0.956463
0.840,206.409,0.955397
0.850,205.446,0.938403
0.860,203.994,0.859503
0.870,201.857,0.645729
0.880,202.248,0.398646
0.890,184.407,0.716653
0.900,182.085,0.818503
0.910,183.718,0.806966
0.920,186.006,0.850975
0.930,187.149,0.848045
0.940,186.664,0.853482
0.950,185.280,0.867740
0.960,182.395,0.795996
0.970,180.204,0.813161
0.980,178.689,0.885661
0.990,178.120,0.927166
1.000,178.180,0.927266
1.010,178.255,0.921098
1.020,178.383,0.911303
1.030,178.589,0.917146
1.040,178.648,0.921567
1.050,178.705,0.910399
1.060,178.978,0.930802
1.070,179.727,0.944243
1.080,180.823,0.935288
1.090,182.686,0.912959
1.100,184.184,0.923537
1.110,184.696,0.931001
1.120,183.380,0.822648
1.130,178.415,0.518574
1.140,167.444,0.597577
1.150,165.436,0.860382
1.160,164.672,0.869474
1.170,163.567,0.795784
1.180,162.578,0.703293
1.190,161.975,0.509024
1.200,162.760,0.232474
1.210,164.195,0.004824
1.220,166.241,0.009269
1.230,164.558,0.025182
1.240,163.919,0.039729
1.250,164.017,0.030746
1.260,163.155,0.023688
1.270,162.777,0.019571
1.280,162.559,0.015993
1.290,162.239,0.033188
1.300,163.024,0.090878
1.310,164.052,0.387178
1.320,162.817,0.607308
1.330,156.626,0.553690
1.340,156.321,0.805481
1.350,157.282,0.914488
1.360,158.868,0.875661
1.370,161.901,0.750778
1.380,167.499,0.680339
1.390,175.408,0.792341
1.400,180.547,0.863991
1.410,184.165,0.896160
1.420,185.931,0.945703
1.430,186.599,0.931607
1.440,186.520,0.943348
1.450,185.973,0.959692
1.460,185.143,0.951302
1.470,184.070,0.937546
1.480,182.631,0.916376
1.490,180.355,0.909838
1.500,178.084,0.929385
1.510,175.792,0.925924
1.520,174.376,0.929695
1.530,173.509,0.950355
1.540,173.285,0.953351
1.550,173.573,0.950695
1.560,174.151,0.932155
1.570,175.064,0.947258
1.580,176.338,0.908584
1.590,178.304,0.920749
1.600,180.258,0.923173
1.610,182.052,0.933586
1.620,183.499,0.941252
1.630,184.145,0.937301
1.640,184.438,0.931466
1.650,184.592,0.927265
1.660,184.658,0.922005
1.670,184.793,0.934275
1.680,184.798,0.939650
1.690,184.634,0.926040
1.700,184.353,0.937297
1.710,183.973,0.946061
1.720,183.375,0.936905
1.730,182.956,0.931617
1.740,182.261,0.918175
1.750,181.355,0.934784
1.760,180.576,0.915741
1.770,180.048,0.935413
1.780,179.919,0.940919
1.790,179.985,0.939449
1.800,180.574,0.916823
1.810,181.592,0.941330
1.820,183.098,0.941202
1.830,184.547,0.911262
1.840,186.123,0.921359
1.850,188.800,0.864124
1.860,190.731,0.894377
1.870,191.555,0.893388
1.880,191.862,0.904528
1.890,191.126,0.858766
1.900,189.865,0.910239
1.910,188.347,0.898418
1.920,186.754,0.886704
1.930,185.181,0.935345
1.940,183.822,0.939641
1.950,182.804,0.926056
1.960,181.933,0.932089
1.970,181.550,0.928227
1.980,181.072,0.928546
1.990,180.984,0.920970
2.000,180.808,0.917495
2.010,180.698,0.912201
2.020,180.966,0.915493
2.030,181.153,0.930049
2.040,181.846,0.931952
2.050,182.859,0.923522
2.060,184.142,0.934890
2.070,185.370,0.942353
2.080,187.088,0.888851
2.090,188.839,0.863756
2.100,189.961,0.901458
2.110,190.617,0.889963
2.120,190.895,0.875292
2.130,190.626,0.891949
2.140,189.830,0.907652
2.150,189.219,0.872194
2.160,188.226,0.885788
2.170,187.202,0.892993
2.180,186.064,0.924135
2.190,185.214,0.932330
2.200,184.488,0.923092
2.210,183.805,0.932510
2.220,183.099,0.930388
2.230,182.356,0.909796
2.240,181.306,0.913445
2.250,180.673,0.902576
2.260,179.844,0.925591
2.270,179.737,0.936450
2.280,180.070,0.932975
2.290,181.189,0.929432
2.300,182.724,0.918632
2.310,184.206,0.932797
2.320,185.342,0.949367
2.330,186.387,0.924538
2.340,187.647,0.911315
2.350,188.170,0.902789
2.360,188.260,0.907283
2.370,187.986,0.900866
2.380,187.754,0.919317
2.390,187.559,0.916889
2.400,187.359,0.918807
2.410,187.336,0.916019
2.420,187.065,0.912120
2.430,186.445,0.922067
2.440,185.531,0.941532
2.450,184.712,0.917842
2.460,183.614,0.943091
2.470,182.587,0.912644
2.480,181.665,0.935964
2.490,181.380,0.933066
2.500,181.221,0.934642
2.510,181.735,0.938177
2.520,182.528,0.910122
2.530,183.421,0.944283
2.540,184.308,0.936752
2.550,185.194,0.943209
2.560,186.439,0.912981
2.570,187.531,0.913986
2.580,188.263,0.904704
2.590,188.637,0.891485
2.600,188.422,0.902332
2.610,188.193,0.904542
2.620,187.527,0.914765
2.630,186.787,0.894880
2.640,186.030,0.940410
2.650,185.357,0.943077
2.660,184.534,0.923441
2.670,183.531,0.940905
2.680,182.490,0.907927
2.690,181.530,0.925585
2.700,180.361,0.919104
2.710,180.014,0.931355
2.720,180.190,0.929193
2.730,180.992,0.932989
2.740,182.075,0.931090
2.750,183.232,0.938277
2.760,184.446,0.926113
2.770,185.592,0.949823
2.780,187.295,0.924506
2.790,189.144,0.914223
2.800,190.825,0.911804
2.810,191.718,0.913656
2.820,191.846,0.920652
