time,frequency,confidence
0.000,347.378,0.228594
0.010,343.878,0.328009
0.020,328.573,0.102510
0.030,317.089,0.179291
0.040,306.254,0.154720
0.050,292.949,0.050008
0.060,292.487,0.042231
0.070,309.643,0.015729
0.080,325.981,0.068741
0.090,320.382,0.425892
0.100,320.699,0.596759
0.110,321.494,0.607151
0.120,319.706,0.538842
0.130,316.399,0.392389
0.140,301.892,0.147416
0.150,283.719,0.080086
0.160,265.532,0.239284
0.170,259.116,0.165630
0.180,256.985,0.235206
0.190,245.416,0.165890
0.200,223.302,0.112251
0.210,211.563,0.112656
0.220,202.305,0.077050
0.230,189.331,0.130674
0.240,173.693,0.439345
0.250,163.200,0.171107
0.260,153.416,0.473340
0.270,149.632,0.416938
0.280,146.781,0.382838
0.290,145.199,0.390167
0.300,138.870,0.268351
0.310,131.048,0.213042
0.320,127.694,0.214477
0.330,125.374,0.196882
0.340,123.851,0.076102
0.350,122.347,0.063427
0.360,120.354,0.185045
0.370,117.709,0.244712
0.380,117.064,0.411194
0.390,117.161,0.501018
0.400,116.096,0.510914
0.410,129.262,0.197919
0.420,130.761,0.072912
0.430,133.107,0.128813
0.440,133.417,0.007508
0.450,134.225,0.012519
0.460,135.853,0.109915
0.470,135.371,0.027341
0.480,134.403,0.039641
0.490,134.777,0.201531
0.500,134.743,0.261966
0.510,130.740,0.326420
0.520,131.687,0.212013
0.530,133.653,0.118284
0.540,125.074,0.119127
0.550,116.446,0.098714
0.560,108.107,0.455441
0.570,108.250,0.741104
0.580,109.249,0.874050
0.590,109.007,0.867683
0.600,108.365,0.818891
0.610,107.394,0.816327
0.620,105.854,0.756645
0.630,104.251,0.837422
0.640,103.082,0.808649
0.650,101.793,0.767844
0.660,101.287,0.682896
0.670,110.708,0.327874
0.680,117.535,0.699052
0.690,118.252,0.846752
0.700,118.691,0.896378
0.710,119.020,0.910394
0.720,119.455,0.929869
0.730,120.772,0.922820
0.740,121.918,0.924445
0.750,122.640,0.945005
0.760,122.947,0.937958
0.770,123.142,0.929011
0.780,123.231,0.933005
0.790,123.327,0.941300
0.800,123.879,0.943834
0.810,125.028,0.909883
0.820,126.235,0.903899
0.830,126.806,0.917765
0.840,126.963,0.912588
0.850,126.885,0.926279
0.860,127.034,0.920572
0.870,127.688,0.910664
0.880,128.291,0.914560
0.890,128.754,0.890753
0.900,128.718,0.888208
0.910,128.145,0.900163
0.920,127.100,0.899204
0.930,125.686,0.891835
0.940,124.103,0.923194
0.950,122.691,0.863788
0.960,121.069,0.699681
0.970,118.296,0.675653
0.980,115.375,0.531141
0.990,109.553,0.348679
1.000,109.661,0.052728
1.010,112.795,0.032564
1.020,116.200,0.028653
1.030,119.250,0.043680
1.040,123.588,0.040840
1.050,125.866,0.046187
1.060,127.030,0.030381
1.070,128.303,0.041332
1.080,129.571,0.025783
1.090,132.297,0.107121
1.100,130.977,0.414345
1.110,128.496,0.684693
1.120,127.105,0.813652
1.130,125.957,0.869472
1.140,125.364,0.905404
1.150,124.808,0.904686
1.160,124.654,0.901749
1.170,124.758,0.907958
1.180,124.575,0.903400
1.190,123.680,0.861117
1.200,121.496,0.502740
1.210,126.123,0.577394
1.220,128.460,0.848729
1.230,128.919,0.863365
1.240,128.619,0.897337
1.250,127.498,0.892732
1.260,126.634,0.929030
1.270,125.669,0.930518
1.280,124.860,0.921817
1.290,123.827,0.950747
1.300,122.987,0.931644
1.310,122.085,0.928237
1.320,121.253,0.930439
1.330,120.816,0.937887
1.340,121.034,0.930888
1.350,120.929,0.932053
1.360,120.784,0.930967
