time,frequency,confidence
0.000,937.723,0.038422
0.010,939.726,0.517275
0.020,938.037,0.016316
0.030,940.045,0.025084
0.040,962.118,0.011627
0.050,965.582,0.011393
0.060,978.514,0.046785
0.070,966.169,0.156167
0.080,970.564,0.164271
0.090,979.682,0.136284
0.100,975.778,0.059027
0.110,976.011,0.063579
0.120,979.595,0.081905
0.130,980.070,0.153565
0.140,984.700,0.091001
0.150,983.444,0.134207
0.160,978.302,0.236610
0.170,975.812,0.205646
0.180,976.016,0.171630
0.190,978.499,0.172084
0.200,904.688,0.118708
0.210,792.192,0.226088
0.220,716.546,0.098406
0.230,651.239,0.081886
0.240,650.557,0.100296
0.250,649.402,0.147617
0.260,653.236,0.202547
0.270,639.849,0.154762
0.280,611.238,0.180281
0.290,588.372,0.168388
0.300,590.661,0.166705
0.310,610.392,0.074585
0.320,636.179,0.051291
0.330,646.643,0.051934
0.340,652.726,0.086761
0.350,650.872,0.079684
0.360,633.179,0.084705
0.370,632.621,0.090146
0.380,574.625,0.052297
0.390,500.037,0.079880
0.400,451.982,0.052271
0.410,399.147,0.037954
0.420,352.909,0.505047
0.430,320.138,0.101361
0.440,285.865,0.440841
0.450,248.022,0.243233
0.460,224.307,0.519823
0.470,199.485,0.462134
0.480,177.586,0.414607
0.490,158.390,0.144625
0.500,139.262,0.041568
0.510,123.288,0.260565
0.520,123.491,0.106717
0.530,123.599,0.160305
0.540,122.439,0.151280
0.550,122.252,0.295441
0.560,123.672,0.187781
0.570,123.855,0.360701
0.580,123.526,0.561692
0.590,123.423,0.302478
0.600,124.401,0.527976
0.610,124.043,0.263910
0.620,123.968,0.283015
0.630,124.138,0.238359
0.640,123.624,0.093536
0.650,123.249,0.369516
0.660,122.199,0.471057
0.670,122.466,0.526699
0.680,123.337,0.179210
0.690,125.121,0.071861
0.700,122.573,0.231521
0.710,126.070,0.063757
0.720,137.508,0.042993
0.730,146.112,0.028993
0.740,155.053,0.058314
0.750,162.662,0.192079
0.760,177.669,0.234530
0.770,181.551,0.042432
0.780,193.939,0.053072
0.790,207.807,0.140190
