time,frequency,confidence
0.000,291.843,0.023140
0.010,290.802,0.013172
0.020,288.837,0.118401
0.030,293.329,0.187079
0.040,306.316,0.368849
0.050,315.840,0.578448
0.060,313.536,0.570837
0.070,311.947,0.466170
0.080,313.074,0.355604
0.090,285.457,0.294127
0.100,259.257,0.147195
0.110,247.621,0.218887
0.120,229.025,0.119829
0.130,227.198,0.155106
0.140,245.632,0.139054
0.150,259.584,0.082697
0.160,265.069,0.346870
0.170,281.780,0.398391
0.180,287.556,0.328095
0.190,308.779,0.386788
0.200,314.560,0.289276
0.210,314.557,0.172484
0.220,316.773,0.170353
0.230,305.281,0.084040
0.240,294.071,0.243085
0.250,278.650,0.019861
0.260,291.351,0.089233
0.270,302.022,0.261993
0.280,316.038,0.376342
0.290,322.333,0.586944
0.300,324.269,0.698684
0.310,324.400,0.801711
0.320,321.909,0.865768
0.330,319.931,0.931609
0.340,317.715,0.926848
0.350,316.466,0.957748
0.360,315.673,0.967216
0.370,315.510,0.963474
0.380,315.592,0.961417
0.390,316.103,0.954893
0.400,316.398,0.948423
0.410,317.073,0.933974
0.420,317.235,0.934320
0.430,317.343,0.930629
0.440,317.665,0.932631
0.450,318.092,0.941427
0.460,317.639,0.924563
0.470,317.698,0.926826
0.480,317.129,0.940266
0.490,317.234,0.936464
0.500,316.872,0.944095
0.510,317.386,0.926634
0.520,317.691,0.924886
0.530,318.801,0.955651
0.540,318.761,0.958111
0.550,318.946,0.958058
0.560,318.788,0.956621
0.570,318.530,0.949765
0.580,318.462,0.949468
0.590,317.977,0.942542
0.600,318.210,0.942526
0.610,317.650,0.931227
0.620,317.725,0.928926
0.630,317.612,0.925274
0.640,318.433,0.950750
0.650,318.319,0.951151
0.660,318.558,0.953510
0.670,318.570,0.952301
0.680,318.336,0.945194
0.690,318.120,0.941765
0.700,317.702,0.935958
0.710,317.698,0.929681
0.720,317.576,0.927528
0.730,317.971,0.937140
0.740,317.873,0.934664
0.750,318.512,0.949135
0.760,318.438,0.951710
0.770,318.852,0.957362
0.780,319.125,0.959984
0.790,319.379,0.957801
0.800,319.382,0.957192
0.810,319.148,0.961666
0.820,319.098,0.957968
0.830,318.470,0.951166
0.840,318.335,0.945732
0.850,317.723,0.927277
0.860,318.250,0.946552
0.870,317.827,0.938708
0.880,317.947,0.942726
0.890,318.151,0.945343
0.900,318.497,0.949535
0.910,318.808,0.955570
0.920,318.589,0.957425
0.930,318.543,0.952930
0.940,318.325,0.950182
0.950,318.692,0.953475
0.960,318.683,0.952600
0.970,319.157,0.959466
0.980,318.702,0.957775
0.990,318.834,0.958444
1.000,318.918,0.956522
1.010,319.150,0.956782
1.020,319.425,0.959118
1.030,319.307,0.963543
1.040,319.478,0.958807
1.050,318.981,0.957464
1.060,318.563,0.950663
1.070,318.459,0.946945
1.080,318.432,0.953315
1.090,318.042,0.944210
1.100,317.336,0.934452
1.110,317.277,0.935779
1.120,316.934,0.941589
1.130,317.287,0.932669
1.140,317.424,0.931973
1.150,318.216,0.945004
1.160,318.726,0.955510
1.170,319.495,0.959566
1.180,319.399,0.959330
1.190,319.641,0.961656
1.200,319.107,0.959464
1.210,318.757,0.957136
1.220,318.624,0.950514
1.230,318.307,0.943690
1.240,318.651,0.949823
1.250,318.232,0.946840
1.260,317.892,0.938159
1.270,317.029,0.941743
1.280,316.830,0.943299
1.290,316.596,0.946815
1.300,316.928,0.944277
1.310,316.941,0.947068
1.320,317.044,0.941313
1.330,317.259,0.935432
1.340,317.593,0.927245
1.350,317.929,0.938753
1.360,318.432,0.952591
1.370,319.076,0.956997
1.380,319.393,0.959005
1.390,319.757,0.957974
1.400,319.627,0.955622
1.410,320.124,0.951285
1.420,319.632,0.957676
1.430,319.633,0.959814
1.440,319.458,0.958985
1.450,318.881,0.955012
1.460,318.252,0.945533
1.470,317.026,0.945998
1.480,316.501,0.955936
1.490,316.079,0.961293
1.500,316.183,0.959229
1.510,316.244,0.956771
1.520,316.748,0.951458
1.530,316.790,0.950057
1.540,317.053,0.944092
1.550,317.250,0.937758
1.560,317.447,0.931520
1.570,317.055,0.940688
1.580,316.941,0.946530
1.590,316.606,0.953596
1.600,316.898,0.949727
1.610,317.235,0.937507
1.620,317.748,0.930224
1.630,317.388,0.928821
1.640,317.617,0.932532
1.650,317.017,0.944660
1.660,316.675,0.952489
1.670,316.659,0.950929
1.680,316.777,0.947940
1.690,316.825,0.944943
1.700,317.016,0.944497
1.710,316.968,0.945115
1.720,317.004,0.946510
1.730,317.456,0.930798
1.740,317.981,0.938340
1.750,318.441,0.947009
1.760,318.287,0.949489
1.770,318.006,0.938733
1.780,317.544,0.926680
1.790,317.757,0.930066
1.800,317.209,0.935131
1.810,317.113,0.939184
1.820,316.443,0.954119
1.830,316.245,0.957579
1.840,316.064,0.957188
1.850,316.520,0.950514
1.860,316.551,0.948140
1.870,317.016,0.942335
1.880,316.685,0.952555
1.890,316.523,0.953742
1.900,316.119,0.957445
1.910,316.222,0.955369
1.920,315.770,0.958548
1.930,315.857,0.960120
1.940,315.646,0.962269
1.950,315.841,0.962929
1.960,315.569,0.964745
1.970,315.467,0.962399
1.980,315.152,0.961672
1.990,315.527,0.962029
2.000,315.214,0.962641
2.010,315.468,0.961825
2.020,315.679,0.961564
2.030,316.068,0.958556
2.040,316.116,0.956900
2.050,316.143,0.957322
2.060,316.117,0.960304
2.070,316.028,0.961545
2.080,315.863,0.964627
2.090,315.796,0.963153
2.100,315.870,0.960538
2.110,316.097,0.957493
2.120,316.439,0.956599
2.130,316.067,0.961031
2.140,315.707,0.965343
2.150,315.473,0.964440
2.160,315.653,0.961853
2.170,315.838,0.958290
2.180,316.292,0.954851
2.190,316.175,0.959386
2.200,316.421,0.959020
2.210,316.279,0.959663
2.220,316.471,0.955483
2.230,316.410,0.954921
2.240,316.588,0.954149
2.250,316.142,0.961809
2.260,316.225,0.959857
2.270,316.138,0.959921
2.280,316.043,0.961249
2.290,315.712,0.963496
2.300,315.873,0.962425
2.310,315.560,0.966054
2.320,315.496,0.965273
2.330,315.643,0.963919
2.340,316.059,0.957054
2.350,316.237,0.956969
2.360,316.463,0.953464
2.370,316.691,0.952070
2.380,316.873,0.948132
2.390,317.005,0.947105
2.400,317.260,0.937253
2.410,317.245,0.937595
2.420,317.140,0.939522
2.430,316.754,0.950050
2.440,316.636,0.950469
2.450,316.421,0.958011
2.460,316.544,0.953798
2.470,316.706,0.949687
2.480,317.155,0.937185
2.490,317.171,0.942198
2.500,317.293,0.934679
2.510,317.285,0.936409
2.520,317.317,0.932929
2.530,316.845,0.942334
2.540,316.752,0.945786
2.550,316.451,0.954732
2.560,316.571,0.954875
2.570,316.435,0.956265
2.580,316.786,0.947998
2.590,316.885,0.944275
2.600,317.238,0.938684
2.610,316.984,0.945794
2.620,317.315,0.935682
2.630,317.496,0.927848
2.640,317.829,0.934328
2.650,317.251,0.935336
2.660,317.056,0.942371
2.670,316.502,0.955004
2.680,316.187,0.957778
2.690,316.107,0.955168
2.700,316.574,0.946984
2.710,316.967,0.938500
2.720,317.973,0.938703
2.730,317.969,0.936478
2.740,317.887,0.937801
2.750,317.245,0.937301
2.760,317.014,0.940628
2.770,316.812,0.943641
2.780,316.593,0.952230
2.790,316.087,0.958090
2.800,315.720,0.961038
2.810,315.815,0.958581
2.820,315.991,0.956433
2.830,315.968,0.954957
2.840,316.107,0.956909
2.850,316.414,0.955252
2.860,316.778,0.949004
2.870,317.074,0.940522
2.880,317.483,0.925759
2.890,317.449,0.928039
2.900,317.935,0.943327
2.910,317.580,0.930317
2.920,317.334,0.934932
2.930,317.290,0.936164
2.940,317.418,0.927562
2.950,317.672,0.928373
2.960,317.779,0.939536
2.970,317.942,0.942643
